InstrumentName, I-25 Denver,,
StartTime, 2020-07-01 00:00:00,,
EndTime, 2020-07-31 23:59:59,,
Date,CO,NO2,PM2.5
07/17/2020 00:00:00.000000,0.3,19.0,4.7
07/17/2020 01:00:00.000000,0.2,20.0,4.3
07/17/2020 02:00:00.000000,0.3,15.0,4.1
07/17/2020 03:00:00.000000,0.4,19.0,5.5
07/17/2020 04:00:00.000000,0.6,,6.3
07/17/2020 05:00:00.000000,0.3,20.0,6.1
07/17/2020 06:00:00.000000,0.3,12.0,5.6
07/17/2020 07:00:00.000000,0.2,15.0,6.0
07/17/2020 08:00:00.000000,0.2,17.0,7.3
07/17/2020 09:00:00.000000,0.2,17.0,7.6
07/17/2020 10:00:00.000000,0.3,25.0,8.6
07/17/2020 11:00:00.000000,0.4,27.0,9.4
07/17/2020 12:00:00.000000,0.5,30.0,7.8
07/17/2020 13:00:00.000000,0.4,26.0,7.1
07/17/2020 14:00:00.000000,0.3,19.0,8.0
07/17/2020 15:00:00.000000,0.3,18.0,6.1
07/17/2020 16:00:00.000000,0.2,15.0,7.4
07/17/2020 17:00:00.000000,0.2,12.0,6.3
07/17/2020 18:00:00.000000,0.2,14.0,5.7
07/17/2020 19:00:00.000000,0.3,21.0,6.7
07/17/2020 20:00:00.000000,0.4,25.0,6.2
07/17/2020 21:00:00.000000,0.4,24.0,5.7
07/17/2020 22:00:00.000000,0.4,24.0,5.6
07/17/2020 23:00:00.000000,0.5,21.0,6.0
07/18/2020 00:00:00.000000,0.4,20.0,6.7
07/18/2020 01:00:00.000000,0.5,22.0,5.4
07/18/2020 02:00:00.000000,0.4,16.0,5.0
07/18/2020 03:00:00.000000,0.3,14.0,4.8
07/18/2020 04:00:00.000000,0.3,,11.9
07/18/2020 05:00:00.000000,0.3,14.0,3.2
07/18/2020 06:00:00.000000,0.3,11.0,2.8
07/18/2020 07:00:00.000000,0.2,11.0,3.5
07/18/2020 08:00:00.000000,0.2,10.0,4.1
07/18/2020 09:00:00.000000,0.2,9.0,4.0
07/18/2020 10:00:00.000000,0.2,13.0,4.4
07/18/2020 11:00:00.000000,0.2,14.0,5.3
07/18/2020 12:00:00.000000,0.4,24.0,7.4
07/18/2020 13:00:00.000000,0.4,21.0,7.7
07/18/2020 14:00:00.000000,0.3,15.0,6.7
07/18/2020 17:00:00.000000,0.2,10.0,3.4
07/18/2020 18:00:00.000000,0.3,17.0,3.1
07/18/2020 19:00:00.000000,0.1,7.0,3.2
07/18/2020 20:00:00.000000,0.1,6.0,3.3
07/18/2020 21:00:00.000000,0.1,3.0,4.0
07/18/2020 22:00:00.000000,0.3,14.0,4.7
07/18/2020 23:00:00.000000,0.3,16.0,4.6
07/19/2020 00:00:00.000000,0.2,7.0,4.9
07/19/2020 01:00:00.000000,0.2,10.0,5.3
07/19/2020 02:00:00.000000,0.3,13.0,5.3
07/19/2020 03:00:00.000000,0.1,7.0,5.0
07/19/2020 04:00:00.000000,0.1,,7.3
07/19/2020 05:00:00.000000,0.5,18.0,7.7
07/19/2020 06:00:00.000000,0.4,21.0,9.0
07/19/2020 07:00:00.000000,0.4,20.0,8.9
07/19/2020 08:00:00.000000,0.3,16.0,8.7
07/19/2020 09:00:00.000000,0.2,9.0,8.1
07/19/2020 10:00:00.000000,0.1,6.0,9.7
07/19/2020 11:00:00.000000,0.1,8.0,10.9
07/19/2020 12:00:00.000000,0.2,10.0,13.7
07/19/2020 13:00:00.000000,0.2,9.0,17.3
07/19/2020 14:00:00.000000,0.2,6.0,15.7
07/19/2020 15:00:00.000000,0.1,6.0,13.4
07/19/2020 16:00:00.000000,0.2,8.0,14.8
07/19/2020 17:00:00.000000,0.3,13.0,14.1
07/19/2020 18:00:00.000000,0.3,16.0,13.6
07/19/2020 19:00:00.000000,0.3,13.0,6.1
07/19/2020 20:00:00.000000,0.3,11.0,2.6
07/19/2020 21:00:00.000000,0.1,5.0,4.8
07/19/2020 22:00:00.000000,0.3,9.0,2.6
07/19/2020 23:00:00.000000,0.3,13.0,2.3
07/20/2020 00:00:00.000000,0.4,14.0,3.1
07/20/2020 01:00:00.000000,0.4,20.0,3.8
07/20/2020 02:00:00.000000,0.5,22.0,3.8
07/20/2020 03:00:00.000000,0.6,27.0,5.2
07/20/2020 04:00:00.000000,0.4,,3.7
07/20/2020 05:00:00.000000,0.5,19.0,4.8
07/20/2020 06:00:00.000000,0.2,12.0,4.1
07/20/2020 07:00:00.000000,0.2,11.0,4.0
07/20/2020 08:00:00.000000,0.1,6.0,3.6
07/20/2020 09:00:00.000000,0.1,9.0,3.9
07/20/2020 10:00:00.000000,0.2,17.0,4.7
07/20/2020 11:00:00.000000,0.3,18.0,6.3
07/20/2020 15:00:00.000000,0.2,18.0,9.8
07/20/2020 16:00:00.000000,0.2,15.0,7.4
07/20/2020 17:00:00.000000,0.3,23.0,8.6
07/20/2020 18:00:00.000000,0.2,14.0,6.8
07/20/2020 19:00:00.000000,0.1,,7.7
07/20/2020 20:00:00.000000,0.2,13.0,5.8
07/20/2020 21:00:00.000000,,13.0,4.8
07/20/2020 22:00:00.000000,0.2,12.0,4.3
07/20/2020 23:00:00.000000,0.1,8.0,4.0
07/21/2020 00:00:00.000000,0.2,6.0,4.5
07/21/2020 01:00:00.000000,0.2,7.0,4.8
07/21/2020 02:00:00.000000,0.4,16.0,6.8
07/21/2020 03:00:00.000000,0.3,15.0,6.7
07/21/2020 04:00:00.000000,0.4,,6.8
07/21/2020 05:00:00.000000,0.2,16.0,6.6
07/21/2020 06:00:00.000000,0.2,18.0,7.2
07/21/2020 07:00:00.000000,0.2,10.0,7.8
07/21/2020 08:00:00.000000,0.2,9.0,7.9
07/21/2020 09:00:00.000000,0.1,8.0,9.2
07/21/2020 10:00:00.000000,0.2,11.0,12.7
07/21/2020 11:00:00.000000,0.2,15.0,13.9
07/21/2020 12:00:00.000000,0.5,25.0,14.9
07/21/2020 13:00:00.000000,0.5,27.0,16.0
07/21/2020 14:00:00.000000,0.5,25.0,11.4
07/21/2020 15:00:00.000000,0.4,22.0,10.8
07/21/2020 16:00:00.000000,0.3,23.0,11.0
07/21/2020 17:00:00.000000,0.3,17.0,12.1
07/21/2020 18:00:00.000000,0.3,17.0,11.6
07/21/2020 19:00:00.000000,0.4,25.0,11.0
07/21/2020 20:00:00.000000,0.5,38.0,12.6
07/21/2020 21:00:00.000000,0.5,40.0,11.8
07/21/2020 22:00:00.000000,0.4,29.0,8.7
07/21/2020 23:00:00.000000,0.3,17.0,4.2
07/22/2020 00:00:00.000000,0.3,15.0,4.1
07/22/2020 01:00:00.000000,0.3,16.0,4.4
07/22/2020 02:00:00.000000,0.3,19.0,4.6
07/22/2020 03:00:00.000000,0.2,15.0,5.0
07/22/2020 04:00:00.000000,0.2,,6.3
07/22/2020 05:00:00.000000,0.1,5.0,9.1
07/22/2020 06:00:00.000000,0.1,5.0,7.1
07/22/2020 07:00:00.000000,0.1,5.0,9.0
07/22/2020 08:00:00.000000,0.1,7.0,7.1
07/22/2020 09:00:00.000000,0.1,8.0,7.4
07/22/2020 10:00:00.000000,0.2,13.0,7.5
07/22/2020 11:00:00.000000,0.4,26.0,8.8
07/22/2020 12:00:00.000000,0.6,30.0,10.2
07/22/2020 13:00:00.000000,0.4,24.0,11.4
07/22/2020 14:00:00.000000,0.4,25.0,10.9
07/22/2020 15:00:00.000000,0.4,26.0,10.3
07/22/2020 16:00:00.000000,0.3,18.0,8.9
07/22/2020 17:00:00.000000,0.3,16.0,
07/22/2020 18:00:00.000000,0.2,16.0,8.1
07/22/2020 19:00:00.000000,0.2,14.0,8.4
07/22/2020 20:00:00.000000,0.1,10.0,7.2
07/22/2020 21:00:00.000000,0.1,8.0,6.1
07/22/2020 22:00:00.000000,0.1,7.0,5.9
07/22/2020 23:00:00.000000,0.3,14.0,9.0
07/23/2020 00:00:00.000000,0.5,26.0,13.8
07/23/2020 01:00:00.000000,0.6,21.0,7.6
07/23/2020 02:00:00.000000,0.4,17.0,6.5
07/23/2020 03:00:00.000000,0.4,15.0,6.5
07/23/2020 04:00:00.000000,0.5,,7.7
07/23/2020 05:00:00.000000,0.3,19.0,8.1
07/23/2020 06:00:00.000000,0.3,17.0,8.6
07/23/2020 07:00:00.000000,0.3,18.0,9.8
07/23/2020 08:00:00.000000,0.2,16.0,9.6
07/23/2020 09:00:00.000000,0.2,13.0,9.2
07/23/2020 10:00:00.000000,0.2,21.0,9.2
07/23/2020 11:00:00.000000,0.4,25.0,9.5
07/23/2020 12:00:00.000000,0.7,27.0,11.4
07/23/2020 13:00:00.000000,0.8,30.0,13.0
07/23/2020 14:00:00.000000,0.6,34.0,15.1
07/23/2020 15:00:00.000000,0.6,38.0,14.2
07/23/2020 16:00:00.000000,0.5,31.0,9.2
07/23/2020 17:00:00.000000,0.4,19.0,7.1
07/23/2020 18:00:00.000000,0.1,10.0,7.5
07/23/2020 19:00:00.000000,0.1,8.0,5.4
07/23/2020 20:00:00.000000,0.2,10.0,4.9
07/23/2020 21:00:00.000000,0.2,14.0,4.3
07/23/2020 22:00:00.000000,0.4,20.0,3.9
07/23/2020 23:00:00.000000,0.5,24.0,4.1
07/24/2020 00:00:00.000000,0.4,18.0,4.3
07/24/2020 01:00:00.000000,0.4,17.0,3.9
07/24/2020 02:00:00.000000,0.3,13.0,3.4
07/24/2020 03:00:00.000000,0.3,17.0,4.2
07/24/2020 04:00:00.000000,0.4,,3.9
07/24/2020 05:00:00.000000,0.3,11.0,4.1
07/24/2020 06:00:00.000000,0.2,9.0,4.5
07/24/2020 07:00:00.000000,0.1,8.0,5.3
07/24/2020 08:00:00.000000,0.2,15.0,5.8
07/24/2020 09:00:00.000000,0.2,13.0,6.3
07/24/2020 10:00:00.000000,0.2,15.0,6.8
07/24/2020 11:00:00.000000,0.2,20.0,7.5
07/24/2020 12:00:00.000000,0.3,27.0,8.8
07/24/2020 13:00:00.000000,0.4,26.0,9.0
07/24/2020 14:00:00.000000,0.3,19.0,6.4
07/24/2020 15:00:00.000000,0.3,18.0,7.9
07/24/2020 16:00:00.000000,0.4,25.0,7.5
07/24/2020 17:00:00.000000,0.4,31.0,7.8
07/24/2020 18:00:00.000000,0.4,24.0,6.0
07/24/2020 19:00:00.000000,0.2,20.0,5.7
07/24/2020 20:00:00.000000,0.4,31.0,6.7
07/24/2020 21:00:00.000000,0.2,9.0,8.4
07/24/2020 22:00:00.000000,0.2,9.0,5.8
07/24/2020 23:00:00.000000,0.5,20.0,5.2
07/25/2020 00:00:00.000000,0.5,18.0,4.9
07/25/2020 01:00:00.000000,0.4,14.0,5.5
07/25/2020 02:00:00.000000,0.5,17.0,5.6
07/25/2020 03:00:00.000000,0.2,8.0,7.1
07/25/2020 04:00:00.000000,0.3,,14.3
07/25/2020 05:00:00.000000,0.3,14.0,8.5
07/25/2020 06:00:00.000000,0.3,11.0,5.7
07/25/2020 07:00:00.000000,0.2,7.0,5.1
07/25/2020 08:00:00.000000,0.1,9.0,4.2
07/25/2020 09:00:00.000000,0.1,9.0,4.0
07/25/2020 10:00:00.000000,0.1,10.0,4.7
07/25/2020 11:00:00.000000,0.2,14.0,5.4
07/25/2020 12:00:00.000000,0.4,17.0,5.4
07/25/2020 13:00:00.000000,0.3,15.0,4.4
07/25/2020 14:00:00.000000,0.2,10.0,4.3
07/25/2020 15:00:00.000000,0.3,17.0,3.8
07/25/2020 16:00:00.000000,0.3,14.0,3.4
07/25/2020 17:00:00.000000,0.2,8.0,2.3
07/25/2020 18:00:00.000000,0.1,7.0,2.9
07/25/2020 19:00:00.000000,0.3,15.0,3.1
07/25/2020 20:00:00.000000,0.4,16.0,3.3
07/25/2020 21:00:00.000000,0.2,6.0,7.3
07/25/2020 22:00:00.000000,0.4,13.0,16.4
07/25/2020 23:00:00.000000,0.5,14.0,5.8
07/26/2020 00:00:00.000000,0.4,14.0,5.6
