InstrumentName, Swansea (DEH) B,,
StartTime, 2018-02-01 00:00:00,,
EndTime, 2018-02-28 23:59:59,,
Date,PM2.5,humidity,temp_f
02/11/2018 13:02:07.833333,1.74,100.0,-221.0
02/11/2018 13:04:47.953333,1.74,100.0,-221.0
02/11/2018 13:08:48.033333,2.65,100.0,-221.0
02/11/2018 13:11:27.810000,1.26,100.0,-221.0
02/11/2018 13:14:07.880000,1.28,100.0,-221.0
02/11/2018 13:16:48.356666,1.46,100.0,-221.0
02/11/2018 13:20:47.990000,1.18,100.0,-221.0
02/11/2018 13:23:27.883333,1.32,100.0,-221.0
02/11/2018 13:26:07.740000,0.05,100.0,-221.0
02/11/2018 13:28:47.756666,1.9,100.0,-221.0
02/11/2018 13:32:47.870000,1.37,100.0,-221.0
02/11/2018 13:35:27.770000,2.0,100.0,-221.0
02/11/2018 13:38:07.760000,2.43,100.0,-221.0
02/11/2018 13:40:47.776666,1.26,100.0,-221.0
02/11/2018 13:43:27.703333,0.79,100.0,-221.0
02/11/2018 13:47:27.670000,0.89,100.0,-221.0
02/11/2018 13:50:07.746666,0.7,100.0,-221.0
02/11/2018 13:52:47.756666,0.97,100.0,-221.0
02/11/2018 13:56:47.763333,1.32,100.0,-221.0
02/11/2018 13:59:27.756666,1.53,100.0,-221.0
02/11/2018 14:02:07.726666,0.6,100.0,-221.0
02/11/2018 14:04:47.890000,0.11,100.0,-221.0
02/11/2018 14:08:47.880000,0.54,100.0,-221.0
02/11/2018 14:11:27.790000,0.92,100.0,-221.0
02/11/2018 14:14:07.833333,0.79,100.0,-221.0
02/11/2018 14:16:47.813333,1.35,100.0,-221.0
02/11/2018 14:20:47.813333,0.42,100.0,-221.0
02/11/2018 14:23:27.843333,0.42,100.0,-221.0
02/11/2018 14:26:07.793333,1.24,100.0,-221.0
02/11/2018 14:28:47.723333,0.57,100.0,-221.0
02/11/2018 14:31:28.206666,0.58,100.0,-221.0
02/11/2018 14:35:27.956666,0.12,100.0,-221.0
02/11/2018 14:38:07.756666,0.59,100.0,-221.0
02/11/2018 14:40:48.610000,0.51,100.0,-221.0
02/11/2018 14:44:47.986666,0.51,100.0,-221.0
02/11/2018 14:47:27.920000,0.03,100.0,-221.0
02/11/2018 14:50:07.986666,0.21,100.0,-221.0
02/11/2018 14:52:47.853333,0.19,100.0,-221.0
02/11/2018 14:56:47.893333,0.32,100.0,-221.0
02/11/2018 14:59:27.913333,0.21,100.0,-221.0
02/11/2018 15:02:07.826666,0.68,100.0,-221.0
02/11/2018 15:04:47.780000,0.71,100.0,-221.0
02/11/2018 15:08:47.760000,0.5,100.0,-221.0
02/11/2018 15:11:27.806666,0.21,100.0,-221.0
02/11/2018 15:14:07.833333,0.21,100.0,-221.0
02/11/2018 15:16:48.046666,0.05,100.0,-221.0
02/11/2018 15:20:47.813333,0.61,100.0,-221.0
02/11/2018 15:23:27.870000,0.29,100.0,-221.0
02/11/2018 15:26:08.310000,0.44,100.0,-221.0
02/11/2018 15:28:47.856666,0.05,100.0,-221.0
02/11/2018 15:32:47.876666,1.11,100.0,-221.0
02/11/2018 15:35:27.803333,1.11,100.0,-221.0
02/11/2018 15:38:07.836666,0.16,100.0,-221.0
02/11/2018 15:40:47.806666,0.68,100.0,-221.0
02/11/2018 15:44:47.866666,0.29,100.0,-221.0
02/11/2018 15:47:27.913333,0.1,100.0,-221.0
02/11/2018 15:50:07.876666,0.3,100.0,-221.0
02/11/2018 15:52:47.883333,0.24,100.0,-221.0
02/11/2018 15:56:47.836666,0.22,100.0,-221.0
02/11/2018 15:59:27.830000,0.37,100.0,-221.0
02/11/2018 16:02:07.733333,0.27,100.0,-221.0
02/11/2018 16:04:47.770000,0.75,100.0,-221.0
02/11/2018 16:08:47.803333,0.22,100.0,-221.0
02/11/2018 16:11:27.800000,0.21,100.0,-221.0
02/11/2018 16:14:07.886666,0.21,100.0,-221.0
02/11/2018 16:16:47.863333,0.11,100.0,-221.0
02/11/2018 16:20:47.796666,0.26,100.0,-221.0
02/11/2018 16:23:28.006666,0.26,100.0,-221.0
02/11/2018 16:26:07.910000,0.08,100.0,-221.0
02/11/2018 16:28:47.936666,1.31,100.0,-221.0
02/11/2018 16:31:28.336666,0.11,100.0,-221.0
02/11/2018 16:35:27.860000,0.82,100.0,-221.0
02/11/2018 16:38:08.040000,0.82,100.0,-221.0
02/11/2018 16:40:47.890000,0.39,100.0,-221.0
02/11/2018 16:43:27.873333,0.08,100.0,-221.0
02/11/2018 16:47:27.973333,0.22,100.0,-221.0
02/11/2018 16:50:08.353333,0.08,100.0,-221.0
02/11/2018 16:52:47.976666,0.37,100.0,-221.0
02/11/2018 16:56:47.866666,0.37,100.0,-221.0
02/11/2018 16:59:27.873333,0.74,100.0,-221.0
02/11/2018 17:02:07.846666,0.26,100.0,-221.0
02/11/2018 17:04:48.000000,0.22,100.0,-221.0
02/11/2018 17:07:27.940000,0.08,100.0,-221.0
02/11/2018 17:11:27.823333,0.03,100.0,-221.0
02/11/2018 17:14:07.826666,0.08,100.0,-221.0
02/11/2018 17:16:47.950000,0.7,100.0,-221.0
02/11/2018 17:19:27.873333,0.18,100.0,-221.0
02/11/2018 17:23:27.830000,0.3,100.0,-221.0
02/11/2018 17:26:07.866666,0.3,100.0,-221.0
02/11/2018 17:28:48.006666,0.22,100.0,-221.0
02/11/2018 17:32:47.826666,0.43,100.0,-221.0
02/11/2018 17:35:27.806666,0.24,100.0,-221.0
02/11/2018 17:38:07.776666,0.17,100.0,-221.0
02/11/2018 17:40:47.753333,0.08,100.0,-221.0
02/11/2018 17:44:47.980000,0.43,100.0,-221.0
02/11/2018 17:47:27.783333,0.15,100.0,-221.0
02/11/2018 17:50:07.780000,0.24,100.0,-221.0
02/11/2018 17:52:47.736666,0.51,100.0,-221.0
02/11/2018 17:55:28.076666,0.24,100.0,-221.0
02/11/2018 17:59:27.900000,0.42,100.0,-221.0
02/11/2018 18:02:07.813333,0.46,100.0,-221.0
02/11/2018 18:04:47.890000,0.59,100.0,-221.0
02/11/2018 18:08:48.163333,1.11,100.0,-221.0
02/11/2018 18:11:27.963333,0.34,100.0,-221.0
02/11/2018 18:14:07.920000,0.16,100.0,-221.0
02/11/2018 18:16:48.020000,0.25,100.0,-221.0
02/11/2018 18:20:47.863333,0.62,100.0,-221.0
02/11/2018 18:23:27.866666,0.25,100.0,-221.0
02/11/2018 18:26:07.960000,0.54,100.0,-221.0
02/11/2018 18:28:47.846666,0.36,100.0,-221.0
02/11/2018 18:32:47.856666,0.08,100.0,-221.0
02/11/2018 18:35:27.936666,0.13,100.0,-221.0
02/11/2018 18:38:08.236666,0.45,100.0,-221.0
02/11/2018 18:40:47.980000,0.37,100.0,-221.0
02/11/2018 18:44:47.880000,0.21,100.0,-221.0
02/11/2018 18:47:27.966666,0.21,100.0,-221.0
02/11/2018 18:50:07.793333,0.19,100.0,-221.0
02/11/2018 18:52:47.806666,0.19,100.0,-221.0
02/11/2018 18:56:47.793333,0.19,100.0,-221.0
02/11/2018 18:59:27.910000,0.19,100.0,-221.0
02/11/2018 19:02:07.903333,0.26,100.0,-221.0
02/11/2018 19:04:47.750000,0.26,100.0,-221.0
02/11/2018 19:08:47.833333,0.26,100.0,-221.0
02/11/2018 19:11:28.033333,0.26,100.0,-221.0
02/11/2018 19:14:07.966666,0.26,100.0,-221.0
02/11/2018 19:16:47.886666,0.26,100.0,-221.0
02/11/2018 19:20:47.756666,0.22,100.0,-221.0
02/11/2018 19:23:27.833333,0.22,100.0,-221.0
