InstrumentName, Lake Arbot B,,
StartTime, 2018-02-01 00:00:00,,
EndTime, 2018-02-28 23:59:59,,
Date,PM2.5,humidity,temp_f
02/11/2018 20:17:15.056666,0.37,17.0,54.0
02/11/2018 20:19:55.073333,1.24,17.0,55.0
02/11/2018 20:22:35.236666,1.59,17.0,55.0
02/11/2018 20:26:35.556666,0.93,17.0,55.0
02/11/2018 20:29:15.153333,1.72,17.0,55.0
02/11/2018 20:31:55.223333,1.42,18.0,55.0
02/11/2018 20:34:35.056666,1.53,18.0,55.0
02/11/2018 20:38:35.006666,1.49,18.0,55.0
02/11/2018 20:41:15.166666,1.31,18.0,55.0
02/11/2018 20:43:55.006666,0.81,18.0,55.0
02/11/2018 20:46:35.420000,1.0,18.0,55.0
02/11/2018 20:50:35.080000,0.76,18.0,55.0
02/11/2018 20:53:15.083333,0.77,18.0,55.0
02/11/2018 20:55:55.000000,0.58,18.0,55.0
02/11/2018 20:58:35.176666,1.35,18.0,54.0
02/11/2018 21:02:35.173333,1.32,18.0,54.0
02/11/2018 21:05:15.126666,0.56,19.0,55.0
02/11/2018 21:07:55.066666,0.39,19.0,55.0
02/11/2018 21:10:35.116666,1.6,18.0,55.0
02/11/2018 21:14:35.110000,1.59,18.0,56.0
02/11/2018 21:17:15.030000,1.45,17.0,55.0
02/11/2018 21:19:55.340000,2.0,16.0,56.0
02/11/2018 21:22:35.116666,1.81,16.0,56.0
02/11/2018 21:26:35.173333,1.9,16.0,56.0
02/11/2018 21:29:15.036666,1.88,16.0,56.0
02/11/2018 21:31:55.196666,1.39,15.0,56.0
02/11/2018 21:34:35.070000,1.56,15.0,56.0
02/11/2018 21:38:43.770000,2.0,16.0,56.0
02/11/2018 21:41:15.316666,1.49,16.0,56.0
02/11/2018 21:43:55.166666,1.12,16.0,56.0
02/11/2018 21:46:35.310000,0.79,15.0,56.0
02/11/2018 21:50:35.146666,0.57,16.0,56.0
02/11/2018 21:53:15.136666,1.56,17.0,56.0
02/11/2018 21:55:55.170000,19.51,23.0,56.0
02/11/2018 21:58:35.150000,20.67,24.0,56.0
02/11/2018 22:02:35.110000,22.42,26.0,56.0
02/11/2018 22:05:15.156666,23.02,27.0,55.0
02/11/2018 22:07:55.043333,20.33,28.0,55.0
02/11/2018 22:10:35.176666,21.07,28.0,55.0
02/11/2018 22:14:35.126666,21.77,28.0,54.0
02/11/2018 22:17:17.830000,34.0,29.0,54.0
02/11/2018 22:19:57.840000,23.81,29.0,54.0
02/11/2018 22:22:37.986666,23.66,28.0,54.0
02/11/2018 22:26:37.873333,24.59,29.0,54.0
02/11/2018 22:29:17.966666,23.98,29.0,53.0
02/11/2018 22:31:57.953333,24.27,29.0,53.0
02/11/2018 22:34:37.966666,24.0,29.0,53.0
02/11/2018 22:38:37.860000,24.58,30.0,52.0
02/11/2018 22:41:18.053333,22.23,30.0,52.0
02/11/2018 22:43:57.870000,23.57,30.0,52.0
02/11/2018 22:46:38.113333,23.21,30.0,51.0
02/11/2018 22:50:38.050000,26.0,30.0,51.0
02/11/2018 22:53:17.826666,23.62,31.0,51.0
02/11/2018 22:55:57.970000,22.5,31.0,51.0
02/11/2018 22:58:37.876666,23.17,31.0,51.0
02/11/2018 23:02:37.856666,23.43,31.0,51.0
02/11/2018 23:05:17.876666,23.76,32.0,51.0
02/11/2018 23:07:57.970000,22.0,32.0,51.0
02/11/2018 23:10:37.833333,24.93,32.0,50.0
02/11/2018 23:14:37.886666,22.98,31.0,50.0
02/11/2018 23:17:17.960000,24.05,32.0,50.0
02/11/2018 23:19:57.976666,21.95,32.0,50.0
02/11/2018 23:22:37.940000,21.1,32.0,50.0
02/11/2018 23:26:37.990000,22.27,32.0,50.0
02/11/2018 23:29:17.930000,18.78,31.0,49.0
02/11/2018 23:31:58.006666,19.02,32.0,49.0
02/11/2018 23:34:37.970000,18.61,32.0,49.0
02/11/2018 23:38:37.973333,17.72,32.0,49.0
02/11/2018 23:41:18.080000,18.21,32.0,49.0
