InstrumentName, CCD_Jaspe_007,,,,,,,,,,,,,,
StartTime, 2022-09-01 00:00:00,,,,,,,,,,,,,,
EndTime, 2022-09-30 23:59:59,,,,,,,,,,,,,,
Date,*Lat,*Lon,F1,F3,F4,Hmdty,PM10,PM102,PM1_0,PM1_02,PM2_5,PM2_52,Sig,Temp,Uncertainty
09/23/2022 18:34:08.216000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.82,1.45,0.55,0.75,1.82,1.45,,-1.0,145734.0
09/23/2022 18:35:07.845000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.68,1.03,0.8,0.38,1.63,0.93,,-1.0,145734.0
09/23/2022 18:36:05.896000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.98,1.32,0.92,0.5,1.9,1.22,,-1.0,145734.0
09/23/2022 18:37:05.163000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.72,1.53,0.73,0.97,1.72,1.53,,-1.0,145734.0
09/23/2022 18:38:06.361000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.67,1.07,0.15,0.58,0.67,1.07,,-1.0,145734.0
09/23/2022 18:39:05.143000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.12,0.67,0.15,0.15,1.12,0.67,,-1.0,145734.0
09/23/2022 18:40:05.885000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.17,0.63,0.15,0.32,1.17,0.63,,-1.0,145734.0
09/23/2022 18:41:06.882000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.58,0.92,0.17,0.13,1.25,0.83,,-1.0,145734.0
09/23/2022 18:42:06.306000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.93,1.63,0.42,0.33,1.35,1.53,,-1.0,145734.0
09/23/2022 18:43:06.461000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.7,1.03,0.7,0.27,1.37,1.02,,-1.0,145734.0
09/23/2022 18:44:06.123000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,2.38,0.95,0.67,0.18,2.27,0.87,,-1.0,145734.0
09/23/2022 18:45:06.860000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.12,1.68,0.0,0.68,1.0,1.57,,-1.0,145734.0
09/23/2022 18:46:05.882000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.7,1.4,0.0,0.5,0.7,1.4,,-1.0,145734.0
09/23/2022 18:47:07.287000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.82,1.33,0.05,0.55,0.82,1.27,,-1.0,145734.0
09/23/2022 18:48:08.081000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.87,1.93,0.43,0.97,1.87,1.85,,-1.0,145734.0
