InstrumentName, Construction Dust Monitor (B),,
StartTime, 2018-07-01 00:00:00,,
EndTime, 2018-07-31 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
07/24/2018 04:41:28.000000,4.95,6.87,6.62
07/24/2018 04:44:08.000000,4.85,7.51,6.8
07/24/2018 04:45:28.000000,4.61,6.41,6.41
07/24/2018 04:48:08.000000,4.6,7.0,6.78
07/24/2018 04:49:28.000000,4.61,7.29,6.93
07/24/2018 04:52:08.000000,5.1,7.1,6.8
07/24/2018 04:53:28.000000,5.35,7.35,7.0
07/24/2018 04:56:08.000000,5.0,7.4,7.07
07/24/2018 04:57:28.000000,4.7,7.32,6.62
07/24/2018 05:00:08.000000,4.95,7.05,6.79
07/24/2018 05:01:28.000000,4.62,6.03,5.95
07/24/2018 05:04:08.000000,5.22,7.98,7.2
07/24/2018 05:05:28.000000,5.63,9.37,8.76
07/24/2018 05:08:08.000000,5.03,7.23,7.0
07/24/2018 05:09:28.000000,5.47,9.13,7.95
07/24/2018 05:12:09.000000,6.12,8.8,8.07
07/24/2018 05:13:28.000000,5.82,8.2,8.1
