,model_name,EVAL_SITE,CORR_SITE,Correction_Applied,COR,RMSE,BIAS
369,La Casa State Site Swansea GRIMM rft all,La Casa State Site.csv,Swansea GRIMM rft all,Yes,0.875614652,3.55031584,-0.294317778
370,National Jewish Health State Site Swansea GRIMM rft all,National Jewish Health State Site.csv,Swansea GRIMM rft all,Yes,0.886664001,3.254948814,-0.315777388
371,CAMP State Site Swansea GRIMM rft met,CAMP State Site.csv,Swansea GRIMM rft met,Yes,0.673265252,5.566324891,1.279981562
372,I-25 Denver State Site Swansea GRIMM rft met,I-25 Denver State Site.csv,Swansea GRIMM rft met,Yes,0.791372824,4.495569383,-1.396899672
373,I-25 Globeville State Site Swansea GRIMM rft met,I-25 Globeville State Site.csv,Swansea GRIMM rft met,Yes,0.842633855,4.454019691,0.545013816
374,La Casa State Site Swansea GRIMM rft met,La Casa State Site.csv,Swansea GRIMM rft met,Yes,0.919366172,2.885665897,-0.269659777
375,National Jewish Health State Site Swansea GRIMM rft met,National Jewish Health State Site.csv,Swansea GRIMM rft met,Yes,0.918718297,2.773437578,-0.305532047
376,CAMP State Site Swansea GRIMM rft pm10_all,CAMP State Site.csv,Swansea GRIMM rft pm10_all,Yes,0.677021394,5.476493075,0.846782388
377,I-25 Denver State Site Swansea GRIMM rft pm10_all,I-25 Denver State Site.csv,Swansea GRIMM rft pm10_all,Yes,0.791206781,4.241803803,-1.198543323
378,I-25 Globeville State Site Swansea GRIMM rft pm10_all,I-25 Globeville State Site.csv,Swansea GRIMM rft pm10_all,Yes,0.795219951,5.01677435,0.584437975
379,La Casa State Site Swansea GRIMM rft pm10_all,La Casa State Site.csv,Swansea GRIMM rft pm10_all,Yes,0.887768967,3.386818011,-0.425607821
380,National Jewish Health State Site Swansea GRIMM rft pm10_all,National Jewish Health State Site.csv,Swansea GRIMM rft pm10_all,Yes,0.89663324,3.105094634,-0.332820637
381,CAMP State Site Swansea GRIMM rft pm10,CAMP State Site.csv,Swansea GRIMM rft pm10,Yes,0.66631171,5.620412713,1.475625398
382,I-25 Denver State Site Swansea GRIMM rft pm10,I-25 Denver State Site.csv,Swansea GRIMM rft pm10,Yes,0.810397608,4.225813938,-1.392521707
383,I-25 Globeville State Site Swansea GRIMM rft pm10,I-25 Globeville State Site.csv,Swansea GRIMM rft pm10,Yes,0.84765762,4.35872387,0.183240768
384,La Casa State Site Swansea GRIMM rft pm10,La Casa State Site.csv,Swansea GRIMM rft pm10,Yes,0.923656135,2.857928518,-0.58616884
385,National Jewish Health State Site Swansea GRIMM rft pm10,National Jewish Health State Site.csv,Swansea GRIMM rft pm10,Yes,0.922583482,2.733803861,-0.489361955
386,CAMP State Site Swansea GRIMM rft smoke,CAMP State Site.csv,Swansea GRIMM rft smoke,Yes,0.685312916,5.458698647,1.194669733
387,I-25 Denver State Site Swansea GRIMM rft smoke,I-25 Denver State Site.csv,Swansea GRIMM rft smoke,Yes,0.792187564,4.43003871,-1.338813212
388,I-25 Globeville State Site Swansea GRIMM rft smoke,I-25 Globeville State Site.csv,Swansea GRIMM rft smoke,Yes,0.839020666,4.499136712,0.538939117
389,La Casa State Site Swansea GRIMM rft smoke,La Casa State Site.csv,Swansea GRIMM rft smoke,Yes,0.929314776,2.712529374,-0.306616794
390,National Jewish Health State Site Swansea GRIMM rft smoke,National Jewish Health State Site.csv,Swansea GRIMM rft smoke,Yes,0.922874835,2.703082425,-0.310790182
391,National Jewish Health State Site Raw,National Jewish Health State Site.csv,None,No,,,
392,La Casa State Site Raw,La Casa State Site.csv,None,No,,,
393,I-25 Globeville State Site Raw,I-25 Globeville State Site.csv,None,No,,,
394,I-25 Denver State Site Raw,I-25 Denver State Site.csv,None,No,,,
395,CAMP State Site Raw,CAMP State Site.csv,None,No,,,
396,Swansea GRIMM Raw,Swansea GRIMM.csv,None,No,,,
