InstrumentName, I-25 Globeville,
StartTime, 2022-09-01 00:00:00,
EndTime, 2022-09-30 23:59:59,
Date,NO2,PM2.5
09/17/2022 06:00:00.000000,36.0,8.2
09/17/2022 07:00:00.000000,,7.5
09/17/2022 09:00:00.000000,17.0,4.5
09/17/2022 10:00:00.000000,22.0,4.4
09/17/2022 11:00:00.000000,22.0,4.6
09/17/2022 12:00:00.000000,25.0,5.2
09/17/2022 13:00:00.000000,27.0,6.3
09/17/2022 14:00:00.000000,20.0,12.2
09/17/2022 15:00:00.000000,26.0,6.0
09/17/2022 16:00:00.000000,9.0,3.5
09/17/2022 17:00:00.000000,4.0,2.9
09/17/2022 18:00:00.000000,3.0,3.2
09/17/2022 19:00:00.000000,4.0,2.2
09/17/2022 20:00:00.000000,2.0,1.8
09/17/2022 21:00:00.000000,3.0,1.8
09/17/2022 22:00:00.000000,13.0,2.2
09/17/2022 23:00:00.000000,15.0,2.8
09/18/2022 00:00:00.000000,16.0,4.8
09/18/2022 01:00:00.000000,19.0,4.0
09/18/2022 02:00:00.000000,23.0,4.9
09/18/2022 03:00:00.000000,15.0,5.4
09/18/2022 04:00:00.000000,,5.5
09/18/2022 05:00:00.000000,17.0,6.1
09/18/2022 06:00:00.000000,23.0,6.0
09/18/2022 07:00:00.000000,,5.8
09/18/2022 09:00:00.000000,33.0,7.7
09/18/2022 10:00:00.000000,29.0,7.8
09/18/2022 11:00:00.000000,41.0,7.8
09/18/2022 12:00:00.000000,35.0,6.9
09/18/2022 13:00:00.000000,29.0,7.2
09/18/2022 14:00:00.000000,20.0,7.4
09/18/2022 15:00:00.000000,14.0,9.9
09/18/2022 16:00:00.000000,14.0,6.9
09/18/2022 17:00:00.000000,10.0,7.0
09/18/2022 18:00:00.000000,9.0,5.9
09/18/2022 19:00:00.000000,9.0,5.4
09/18/2022 20:00:00.000000,10.0,3.4
09/18/2022 21:00:00.000000,3.0,2.8
09/18/2022 22:00:00.000000,3.0,2.9
09/18/2022 23:00:00.000000,3.0,2.8
09/19/2022 00:00:00.000000,7.0,3.2
09/19/2022 01:00:00.000000,23.0,6.3
09/19/2022 02:00:00.000000,18.0,5.6
09/19/2022 03:00:00.000000,26.0,7.5
09/19/2022 04:00:00.000000,,6.0
09/19/2022 05:00:00.000000,23.0,7.4
09/19/2022 06:00:00.000000,41.0,13.3
09/19/2022 07:00:00.000000,,10.0
09/19/2022 09:00:00.000000,31.0,7.1
09/19/2022 10:00:00.000000,35.0,7.7
09/19/2022 11:00:00.000000,32.0,7.6
09/19/2022 12:00:00.000000,35.0,9.1
09/19/2022 13:00:00.000000,38.0,10.4
09/19/2022 14:00:00.000000,37.0,16.4
09/19/2022 15:00:00.000000,41.0,18.3
09/19/2022 16:00:00.000000,33.0,6.3
09/19/2022 17:00:00.000000,13.0,3.5
09/19/2022 18:00:00.000000,9.0,3.5
09/19/2022 19:00:00.000000,,2.5
09/19/2022 20:00:00.000000,14.0,3.0
09/19/2022 21:00:00.000000,13.0,3.8
09/19/2022 22:00:00.000000,,3.6
09/19/2022 23:00:00.000000,,4.9
09/20/2022 00:00:00.000000,,4.8
09/20/2022 01:00:00.000000,,4.9
09/20/2022 02:00:00.000000,,5.2
09/20/2022 03:00:00.000000,41.0,7.0
09/20/2022 04:00:00.000000,,8.8
09/20/2022 05:00:00.000000,44.0,8.6
09/20/2022 06:00:00.000000,34.0,6.6
09/20/2022 07:00:00.000000,,7.4
09/20/2022 09:00:00.000000,16.0,4.5
09/20/2022 10:00:00.000000,22.0,6.1
09/20/2022 11:00:00.000000,30.0,6.9
09/20/2022 12:00:00.000000,32.0,8.9
09/20/2022 13:00:00.000000,36.0,9.7
09/20/2022 14:00:00.000000,35.0,19.0
09/20/2022 15:00:00.000000,40.0,9.2
09/20/2022 16:00:00.000000,33.0,7.9
09/20/2022 17:00:00.000000,16.0,4.9
09/20/2022 18:00:00.000000,10.0,3.6
09/20/2022 19:00:00.000000,8.0,3.0
09/20/2022 20:00:00.000000,11.0,2.4
09/20/2022 21:00:00.000000,6.0,2.7
09/20/2022 22:00:00.000000,5.0,2.2
09/20/2022 23:00:00.000000,6.0,2.4
09/21/2022 00:00:00.000000,13.0,2.4
09/21/2022 01:00:00.000000,19.0,4.8
09/21/2022 02:00:00.000000,20.0,6.5
09/21/2022 03:00:00.000000,18.0,6.7
09/21/2022 04:00:00.000000,,5.6
09/21/2022 05:00:00.000000,14.0,5.0
09/21/2022 06:00:00.000000,11.0,3.8
09/21/2022 07:00:00.000000,,4.5
09/21/2022 09:00:00.000000,11.0,5.8
09/21/2022 10:00:00.000000,14.0,6.8
09/21/2022 11:00:00.000000,11.0,7.7
09/21/2022 12:00:00.000000,7.0,8.9
09/21/2022 13:00:00.000000,12.0,11.2
09/21/2022 14:00:00.000000,12.0,14.1
09/21/2022 15:00:00.000000,14.0,12.7
09/21/2022 16:00:00.000000,7.0,12.3
09/21/2022 17:00:00.000000,7.0,11.8
09/21/2022 18:00:00.000000,6.0,14.6
09/21/2022 19:00:00.000000,8.0,14.7
09/21/2022 20:00:00.000000,10.0,14.1
09/21/2022 21:00:00.000000,,14.0
09/21/2022 22:00:00.000000,11.0,9.3
09/21/2022 23:00:00.000000,10.0,6.9
