InstrumentName, APCD B,,
StartTime, 2018-09-01 00:00:00,,
EndTime, 2018-09-30 23:59:59,,
Date,PM2.5,humidity,temp_f
09/01/2018 09:23:03.293333,2.02,38.0,66.0
09/01/2018 09:25:43.036666,1.71,37.0,66.0
09/01/2018 09:27:03.300000,1.62,38.0,66.0
09/01/2018 09:29:43.076666,1.24,38.0,66.0
09/01/2018 09:31:03.203333,1.52,38.0,66.0
09/01/2018 09:33:43.416666,1.48,38.0,65.0
09/01/2018 09:35:03.076666,1.63,38.0,65.0
09/01/2018 09:37:43.373333,1.48,38.0,65.0
09/01/2018 09:39:03.180000,1.24,38.0,65.0
09/01/2018 09:41:43.220000,0.88,38.0,65.0
09/01/2018 09:43:03.170000,1.45,38.0,65.0
09/01/2018 09:45:43.450000,1.72,38.0,65.0
09/01/2018 09:47:03.176666,1.57,39.0,65.0
09/01/2018 09:49:43.166666,1.12,39.0,64.0
09/01/2018 09:51:03.456666,1.45,39.0,64.0
09/01/2018 09:53:43.130000,1.68,40.0,64.0
09/01/2018 09:55:03.360000,0.88,39.0,64.0
09/01/2018 09:57:43.243333,1.29,40.0,64.0
09/01/2018 09:59:03.433333,1.52,40.0,64.0
09/01/2018 10:01:43.083333,0.9,41.0,63.0
09/01/2018 10:03:03.080000,1.45,41.0,63.0
09/01/2018 10:05:43.336666,1.15,41.0,64.0
09/01/2018 10:07:03.296666,1.7,41.0,64.0
09/01/2018 10:09:43.160000,2.4,42.0,64.0
09/01/2018 10:11:03.113333,2.34,42.0,64.0
09/01/2018 10:13:43.263333,2.59,42.0,63.0
09/01/2018 10:15:03.273333,2.17,42.0,63.0
09/01/2018 10:17:43.226666,3.0,43.0,63.0
09/01/2018 10:19:03.563333,2.9,43.0,63.0
09/01/2018 10:21:43.126666,2.88,45.0,63.0
09/01/2018 10:23:03.196666,3.37,46.0,63.0
09/01/2018 10:25:43.256666,3.88,47.0,63.0
09/01/2018 10:27:03.123333,4.1,47.0,63.0
09/01/2018 10:29:44.416666,3.26,48.0,63.0
09/01/2018 10:31:03.136666,3.33,48.0,63.0
09/01/2018 10:33:43.426666,3.23,48.0,63.0
09/01/2018 10:35:03.220000,3.1,47.0,63.0
09/01/2018 10:37:43.236666,2.98,47.0,64.0
09/01/2018 10:39:03.353333,3.39,47.0,64.0
09/01/2018 10:41:43.230000,4.19,46.0,64.0
09/01/2018 10:43:03.406666,3.54,46.0,64.0
09/01/2018 10:45:43.146666,3.62,46.0,63.0
09/01/2018 10:47:03.373333,3.0,46.0,63.0
09/01/2018 10:49:43.183333,3.21,47.0,63.0
09/01/2018 10:51:03.463333,2.83,47.0,63.0
09/01/2018 10:53:43.213333,2.69,48.0,62.0
09/01/2018 10:55:03.103333,2.67,48.0,62.0
09/01/2018 10:57:43.203333,3.24,48.0,62.0
09/01/2018 10:59:03.236666,2.78,48.0,62.0
09/01/2018 11:01:43.160000,2.38,47.0,62.0
09/01/2018 11:03:03.390000,2.54,46.0,62.0
09/01/2018 11:05:43.293333,2.52,46.0,62.0
09/01/2018 11:07:03.296666,2.68,46.0,62.0
09/01/2018 11:09:43.126666,2.0,46.0,62.0
09/01/2018 11:11:03.476666,1.32,45.0,62.0
09/01/2018 11:13:43.446666,1.9,45.0,62.0
09/01/2018 11:15:03.303333,1.9,45.0,62.0
09/01/2018 11:17:43.456666,1.69,46.0,61.0
09/01/2018 11:19:03.166666,1.9,47.0,61.0
09/01/2018 11:21:43.203333,2.36,47.0,61.0
09/01/2018 11:23:03.406666,1.78,47.0,61.0
09/01/2018 11:25:43.126666,2.0,47.0,62.0
09/01/2018 11:27:03.236666,2.22,47.0,62.0
09/01/2018 11:29:43.166666,2.24,47.0,62.0
09/01/2018 11:31:03.136666,2.33,48.0,62.0
09/01/2018 11:33:43.340000,1.76,47.0,62.0
09/01/2018 11:35:03.470000,1.95,48.0,62.0
09/01/2018 11:37:43.276666,2.15,48.0,62.0
09/01/2018 11:39:03.466666,2.28,48.0,61.0
09/01/2018 11:41:43.160000,2.48,48.0,61.0
09/01/2018 11:43:03.230000,2.1,48.0,61.0
09/01/2018 11:45:43.176666,2.0,48.0,61.0
09/01/2018 11:47:03.153333,2.37,48.0,61.0
09/01/2018 11:49:43.210000,2.49,48.0,61.0
09/01/2018 11:51:03.156666,2.0,48.0,61.0
09/01/2018 11:53:43.403333,2.07,48.0,61.0
09/01/2018 11:55:03.306666,2.21,48.0,61.0
09/01/2018 11:57:43.533333,2.51,48.0,61.0
09/01/2018 11:59:03.243333,1.93,48.0,61.0
09/01/2018 12:01:43.306666,1.71,48.0,61.0
09/01/2018 12:03:03.343333,1.93,48.0,62.0
09/01/2018 12:05:43.216666,2.0,48.0,62.0
09/01/2018 12:07:03.393333,2.6,47.0,62.0
09/01/2018 12:09:43.226666,2.39,47.0,62.0
09/01/2018 12:11:03.210000,3.45,47.0,62.0
09/01/2018 12:13:43.253333,2.45,47.0,62.0
09/01/2018 12:15:03.246666,2.57,47.0,61.0
09/01/2018 12:17:43.210000,3.12,48.0,61.0
09/01/2018 12:19:03.840000,2.24,48.0,61.0
09/01/2018 12:21:43.316666,1.76,48.0,61.0
09/01/2018 12:23:03.190000,1.21,48.0,61.0
09/01/2018 12:25:43.243333,2.54,48.0,61.0
09/01/2018 12:27:03.296666,2.0,48.0,61.0
09/01/2018 12:29:43.266666,2.07,49.0,61.0
09/01/2018 12:31:03.340000,1.74,49.0,60.0
09/01/2018 12:33:43.306666,2.05,49.0,60.0
09/01/2018 12:35:03.250000,1.57,49.0,60.0
09/01/2018 12:37:43.510000,2.15,49.0,60.0
09/01/2018 12:39:03.276666,2.76,49.0,60.0
09/01/2018 12:41:43.250000,2.15,50.0,60.0
09/01/2018 12:43:03.336666,1.93,50.0,60.0
09/01/2018 12:45:43.370000,2.26,50.0,60.0
09/01/2018 12:47:03.576666,1.9,50.0,60.0
09/01/2018 12:49:43.346666,2.22,50.0,61.0
09/01/2018 12:51:03.523333,2.31,50.0,61.0
09/01/2018 12:53:43.316666,1.93,49.0,61.0
09/01/2018 12:55:03.213333,2.26,49.0,61.0
09/01/2018 12:57:43.346666,2.67,49.0,61.0
09/01/2018 12:59:03.223333,2.24,49.0,61.0
09/01/2018 13:01:43.263333,2.93,50.0,60.0
09/01/2018 13:03:03.270000,2.51,51.0,60.0
09/01/2018 13:05:43.430000,2.74,51.0,60.0
09/01/2018 13:07:03.590000,3.07,52.0,60.0
09/01/2018 13:09:43.316666,2.57,51.0,60.0
09/01/2018 13:11:03.433333,2.36,51.0,60.0
09/01/2018 13:13:43.236666,2.58,51.0,60.0
09/01/2018 13:15:03.380000,3.07,51.0,61.0
09/01/2018 13:17:43.260000,2.81,50.0,61.0
09/01/2018 13:19:03.240000,2.07,50.0,61.0
09/01/2018 13:21:43.600000,2.43,49.0,61.0
09/01/2018 13:23:03.513333,2.4,48.0,62.0
09/01/2018 13:25:43.346666,3.67,48.0,62.0
09/01/2018 13:27:03.310000,3.69,48.0,62.0
