InstrumentName, Welby
StartTime, 2021-01-01 00:00:00
EndTime, 2021-01-31 00:00:00
Date,NO2,O3,PM10,SO2
01/14/2021 12:00:00,2.0,41.0,7.7,0.0
01/14/2021 13:00:00,3.0,40.0,6.1,0.0
01/14/2021 14:00:00,5.0,37.0,9.8,0.0
01/14/2021 15:00:00,10.0,33.0,18.2,0.0
01/14/2021 16:00:00,5.0,39.0,9.3,0.0
01/14/2021 17:00:00,2.0,42.0,6.4,0.0
01/14/2021 18:00:00,2.0,41.0,10.5,0.0
01/14/2021 19:00:00,1.0,42.0,8.5,0.0
01/14/2021 20:00:00,1.0,42.0,11.3,0.0
01/14/2021 21:00:00,1.0,41.0,37.7,0.0
01/14/2021 22:00:00,2.0,39.0,58.5,0.0
01/14/2021 23:00:00,3.0,37.0,30.2,0.0
01/15/2021 00:00:00,5.0,34.0,37.4,0.0
01/15/2021 01:00:00,3.0,35.0,25.8,0.0
01/15/2021 02:00:00,11.0,26.0,21.0,0.0
01/15/2021 03:00:00,6.0,31.0,10.7,0.0
01/15/2021 04:00:00,,30.0,8.0,0.0
01/15/2021 05:00:00,4.0,33.0,9.7,0.0
01/15/2021 06:00:00,7.0,30.0,7.7,0.0
01/15/2021 07:00:00,22.0,10.0,16.4,0.0
01/15/2021 08:00:00,36.0,1.0,24.9,0.0
01/15/2021 09:00:00,35.0,1.0,19.1,0.0
01/15/2021 10:00:00,35.0,1.0,14.7,0.0
01/15/2021 11:00:00,35.0,1.0,18.1,0.0
01/15/2021 12:00:00,36.0,1.0,21.0,0.0
01/15/2021 13:00:00,40.0,1.0,36.4,1.0
01/15/2021 14:00:00,40.0,1.0,47.8,1.0
01/15/2021 15:00:00,35.0,6.0,48.1,0.0
01/15/2021 16:00:00,35.0,11.0,61.7,1.0
01/15/2021 17:00:00,25.0,21.0,32.6,1.0
01/15/2021 18:00:00,22.0,24.0,28.6,1.0
01/15/2021 19:00:00,11.0,34.0,20.0,0.0
01/15/2021 20:00:00,9.0,37.0,17.5,0.0
01/15/2021 21:00:00,8.0,39.0,20.3,0.0
01/15/2021 22:00:00,11.0,36.0,24.1,0.0
01/15/2021 23:00:00,18.0,27.0,,0.0
01/16/2021 00:00:00,39.0,4.0,65.3,0.0
01/16/2021 01:00:00,44.0,1.0,94.8,1.0
01/16/2021 02:00:00,42.0,1.0,77.2,1.0
01/16/2021 03:00:00,45.0,1.0,58.9,1.0
01/16/2021 04:00:00,,1.0,73.0,2.0
01/16/2021 05:00:00,41.0,1.0,54.8,1.0
01/16/2021 06:00:00,38.0,1.0,27.8,1.0
01/16/2021 07:00:00,38.0,1.0,23.6,1.0
01/16/2021 08:00:00,28.0,11.0,16.2,1.0
01/16/2021 09:00:00,20.0,18.0,14.7,0.0
01/16/2021 10:00:00,31.0,7.0,12.9,1.0
01/16/2021 11:00:00,39.0,0.0,15.9,1.0
01/16/2021 12:00:00,36.0,1.0,22.4,0.0
01/16/2021 13:00:00,37.0,0.0,27.9,1.0
01/16/2021 14:00:00,28.0,10.0,23.7,0.0
01/16/2021 15:00:00,26.0,9.0,28.3,0.0
01/16/2021 16:00:00,24.0,15.0,34.0,0.0
01/16/2021 17:00:00,7.0,33.0,12.5,0.0
01/16/2021 18:00:00,4.0,36.0,5.7,0.0
01/16/2021 19:00:00,3.0,39.0,2.7,0.0
