InstrumentName, Lake Arbot,,
StartTime, 2018-01-01 00:00:00,,
EndTime, 2018-01-31 23:59:59,,
Date,PM2.5,humidity,temp_f
01/01/2018 16:38:48.413333,41.92,40.0,29.0
01/01/2018 16:41:28.780000,41.11,40.0,29.0
01/01/2018 16:42:48.413333,43.55,40.0,29.0
01/01/2018 16:45:28.660000,41.73,40.0,29.0
01/01/2018 16:46:48.493333,42.59,40.0,29.0
01/01/2018 16:49:28.426666,43.28,40.0,30.0
01/01/2018 16:50:48.456666,42.37,40.0,30.0
01/01/2018 16:53:28.676666,41.95,40.0,30.0
01/01/2018 16:54:48.490000,42.48,40.0,30.0
01/01/2018 16:57:28.636666,43.11,40.0,30.0
01/01/2018 16:58:49.360000,43.32,40.0,30.0
01/01/2018 17:01:28.426666,42.59,40.0,30.0
01/01/2018 17:02:48.446666,42.53,40.0,30.0
01/01/2018 17:05:28.476666,43.52,40.0,30.0
01/01/2018 17:06:48.626666,43.5,40.0,30.0
01/01/2018 17:09:28.520000,41.59,40.0,31.0
01/01/2018 17:10:48.553333,43.8,40.0,31.0
01/01/2018 17:13:28.450000,42.44,40.0,31.0
01/01/2018 17:14:48.500000,41.12,39.0,31.0
01/01/2018 17:17:28.510000,42.48,39.0,32.0
01/01/2018 17:18:48.426666,42.12,39.0,32.0
01/01/2018 17:21:28.670000,41.19,38.0,32.0
01/01/2018 17:22:48.460000,41.35,38.0,32.0
01/01/2018 17:25:28.446666,43.07,38.0,32.0
01/01/2018 17:26:48.663333,42.34,38.0,32.0
01/01/2018 17:29:28.503333,42.49,38.0,32.0
01/01/2018 17:30:48.493333,41.1,38.0,32.0
01/01/2018 17:33:28.486666,43.54,38.0,32.0
01/01/2018 17:34:48.623333,41.46,38.0,32.0
01/01/2018 17:37:28.506666,42.38,38.0,32.0
01/01/2018 17:38:48.566666,40.62,38.0,32.0
01/01/2018 17:41:28.486666,43.71,37.0,32.0
01/01/2018 17:42:48.583333,42.0,37.0,32.0
01/01/2018 17:45:28.470000,43.37,37.0,32.0
01/01/2018 17:46:48.693333,42.72,37.0,32.0
01/01/2018 17:49:28.526666,41.53,37.0,32.0
01/01/2018 17:50:48.503333,42.53,37.0,32.0
01/01/2018 17:53:28.673333,44.95,37.0,32.0
01/01/2018 17:54:48.540000,42.59,37.0,33.0
01/01/2018 17:57:28.723333,42.72,37.0,33.0
01/01/2018 17:58:48.500000,42.45,37.0,33.0
01/01/2018 18:01:28.576666,42.32,37.0,33.0
01/01/2018 18:02:48.666666,43.87,36.0,33.0
