InstrumentName, I-25 Denver
StartTime, 2021-08-01 00:00:00
EndTime, 2021-09-01 00:00:00
Date,CO,NO2,PM2.5
08/17/2021 06:00:00,0.319,14.0,
08/17/2021 07:00:00,0.36,17.0,23.2
08/17/2021 09:00:00,0.346,18.0,23.8
08/17/2021 10:00:00,0.345,18.0,22.3
08/17/2021 11:00:00,0.58,31.0,23.2
08/17/2021 12:00:00,0.91,45.0,23.7
08/17/2021 13:00:00,0.702,39.0,22.4
08/17/2021 14:00:00,0.518,31.0,20.3
08/17/2021 15:00:00,0.427,26.0,
08/17/2021 16:00:00,0.339,23.0,14.3
08/17/2021 17:00:00,0.294,9.0,11.7
08/17/2021 18:00:00,0.28,9.0,10.0
08/17/2021 19:00:00,0.246,8.0,9.5
08/17/2021 20:00:00,0.361,14.0,11.1
08/17/2021 21:00:00,0.508,29.0,11.0
08/17/2021 22:00:00,0.546,32.0,8.2
08/17/2021 23:00:00,0.376,14.0,11.5
08/18/2021 00:00:00,0.467,20.0,7.2
08/18/2021 01:00:00,0.412,14.0,6.1
08/18/2021 02:00:00,0.448,18.0,7.6
08/18/2021 03:00:00,0.41,23.0,8.7
08/18/2021 04:00:00,0.375,,9.9
08/18/2021 05:00:00,0.261,11.0,11.7
08/18/2021 06:00:00,0.334,11.0,12.3
08/18/2021 07:00:00,0.345,16.0,14.1
08/18/2021 09:00:00,0.243,12.0,15.2
08/18/2021 10:00:00,0.293,15.0,18.0
08/18/2021 11:00:00,0.722,36.0,24.3
08/18/2021 12:00:00,0.936,37.0,23.1
08/18/2021 13:00:00,0.819,37.0,21.0
08/18/2021 15:00:00,0.411,21.0,16.1
08/18/2021 16:00:00,0.555,33.0,15.8
08/18/2021 17:00:00,0.606,45.0,17.3
08/18/2021 18:00:00,0.415,25.0,11.5
08/18/2021 19:00:00,0.31,13.0,11.3
08/18/2021 20:00:00,0.459,23.0,11.0
08/18/2021 21:00:00,0.47,23.0,10.2
08/18/2021 22:00:00,0.405,20.0,10.1
08/18/2021 23:00:00,0.547,34.0,10.5
08/19/2021 00:00:00,0.578,25.0,10.1
08/19/2021 01:00:00,0.658,23.0,10.5
08/19/2021 02:00:00,0.541,19.0,9.8
08/19/2021 03:00:00,0.483,19.0,10.6
08/19/2021 04:00:00,0.432,,10.8
08/19/2021 06:00:00,0.226,9.0,11.2
08/19/2021 07:00:00,0.229,8.0,11.7
08/19/2021 09:00:00,0.185,4.0,13.1
08/19/2021 10:00:00,0.257,6.0,12.8
08/19/2021 11:00:00,0.514,15.0,11.3
08/19/2021 14:00:00,0.527,20.0,14.5
08/19/2021 15:00:00,0.377,11.0,12.2
08/19/2021 16:00:00,0.523,20.0,11.1
08/19/2021 17:00:00,0.335,18.0,11.2
08/19/2021 19:00:00,0.372,22.0,9.5
08/19/2021 20:00:00,0.515,24.0,9.2
08/19/2021 21:00:00,0.375,18.0,9.7
08/19/2021 22:00:00,0.37,19.0,7.2
08/19/2021 23:00:00,0.552,28.0,7.2
08/20/2021 00:00:00,0.601,28.0,7.0
08/20/2021 01:00:00,0.422,17.0,6.5
08/20/2021 02:00:00,0.5,19.0,6.8
08/20/2021 03:00:00,0.501,19.0,5.5
08/20/2021 04:00:00,0.63,,7.2
08/20/2021 06:00:00,0.294,13.0,7.2
08/20/2021 07:00:00,0.302,11.0,7.3
08/20/2021 09:00:00,0.223,4.0,5.0
08/20/2021 10:00:00,0.36,14.0,2.4
08/20/2021 11:00:00,0.466,20.0,2.5
08/20/2021 12:00:00,0.68,28.0,3.9
08/20/2021 13:00:00,0.699,32.0,4.9
08/20/2021 14:00:00,0.489,23.0,5.7
08/20/2021 15:00:00,0.517,21.0,5.4
08/20/2021 16:00:00,0.444,19.0,6.5
08/20/2021 17:00:00,0.61,28.0,9.5
08/20/2021 18:00:00,0.609,28.0,10.1
08/20/2021 19:00:00,0.565,22.0,8.5
08/20/2021 20:00:00,0.404,11.0,8.5
08/20/2021 21:00:00,0.386,10.0,10.0
08/20/2021 23:00:00,0.386,6.0,8.9
08/21/2021 00:00:00,0.445,8.0,9.7
08/21/2021 01:00:00,0.432,8.0,11.8
08/21/2021 02:00:00,0.397,11.0,12.7
08/21/2021 03:00:00,0.422,10.0,13.1
08/21/2021 04:00:00,0.46,,13.9
08/21/2021 05:00:00,0.433,10.0,15.0
08/21/2021 06:00:00,0.414,11.0,17.7
08/21/2021 07:00:00,0.362,6.0,18.3
08/21/2021 09:00:00,0.484,17.0,17.1
08/21/2021 10:00:00,0.415,11.0,15.1
08/21/2021 11:00:00,0.484,14.0,14.0
08/21/2021 12:00:00,0.562,19.0,13.8
08/21/2021 13:00:00,0.576,18.0,13.6
08/21/2021 14:00:00,0.571,17.0,12.7
08/21/2021 15:00:00,0.405,8.0,13.7
08/21/2021 16:00:00,0.386,6.0,11.8
08/21/2021 17:00:00,0.381,4.0,10.7
08/21/2021 18:00:00,0.344,2.0,9.6
08/21/2021 19:00:00,0.341,2.0,9.2
08/21/2021 20:00:00,0.328,1.0,9.6
08/21/2021 21:00:00,0.334,2.0,8.8
08/21/2021 22:00:00,0.384,4.0,9.4
08/21/2021 23:00:00,0.413,8.0,9.6
08/22/2021 00:00:00,0.429,9.0,8.4
08/22/2021 02:00:00,0.436,12.0,6.6
08/22/2021 03:00:00,0.618,18.0,8.7
08/22/2021 04:00:00,0.603,,10.6
08/22/2021 05:00:00,0.512,14.0,9.3
08/22/2021 06:00:00,0.369,6.0,9.8
08/22/2021 07:00:00,0.388,10.0,10.1
08/22/2021 09:00:00,0.358,9.0,10.7
08/22/2021 10:00:00,0.324,6.0,10.4
08/22/2021 11:00:00,0.335,11.0,9.9
08/22/2021 12:00:00,0.365,12.0,9.8
08/22/2021 13:00:00,0.384,8.0,10.9
08/22/2021 14:00:00,0.426,8.0,11.9
08/22/2021 15:00:00,0.403,7.0,10.7
08/22/2021 16:00:00,0.33,8.0,9.3
08/22/2021 17:00:00,0.393,10.0,8.9
08/22/2021 18:00:00,0.402,11.0,7.4
08/22/2021 19:00:00,0.3,7.0,4.8
08/22/2021 20:00:00,0.2,3.0,3.0
08/22/2021 21:00:00,0.218,3.0,3.2
08/22/2021 22:00:00,0.227,3.0,3.2
08/22/2021 23:00:00,0.263,6.0,3.3
08/23/2021 00:00:00,0.409,12.0,4.2
08/23/2021 01:00:00,0.248,8.0,6.1
08/23/2021 02:00:00,0.232,10.0,7.5
08/23/2021 03:00:00,0.656,25.0,9.1
08/23/2021 04:00:00,0.635,,9.6
08/23/2021 05:00:00,0.844,24.0,8.7
08/23/2021 06:00:00,0.581,28.0,9.6
08/23/2021 07:00:00,0.332,16.0,8.7
08/23/2021 09:00:00,0.271,12.0,14.9
08/23/2021 10:00:00,0.32,22.0,14.8
08/23/2021 11:00:00,0.355,24.0,9.4
08/23/2021 12:00:00,0.513,26.0,9.3
08/23/2021 13:00:00,0.561,26.0,10.6
08/23/2021 14:00:00,,20.0,7.8
08/23/2021 15:00:00,0.378,19.0,7.1
