InstrumentName, Thornton,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2018 21:41:14.650000,33.44,33.0,55.0
04/01/2018 21:43:55.123333,32.86,33.0,56.0
04/01/2018 21:46:34.630000,32.45,33.0,56.0
04/01/2018 21:50:35.203333,25.48,32.0,62.0
04/01/2018 21:53:14.646666,27.66,30.0,61.0
04/01/2018 21:55:54.673333,27.54,30.0,62.0
04/01/2018 21:58:34.623333,31.07,31.0,58.0
04/01/2018 22:02:34.836666,27.85,30.0,59.0
04/01/2018 22:05:14.726666,27.56,29.0,61.0
04/01/2018 22:07:54.826666,26.59,30.0,63.0
04/01/2018 22:10:34.733333,30.36,29.0,60.0
04/01/2018 22:14:34.753333,27.37,29.0,67.0
04/01/2018 22:17:14.796666,27.64,27.0,68.0
04/01/2018 22:19:55.333333,26.98,25.0,69.0
04/01/2018 22:22:34.660000,26.98,24.0,68.0
04/01/2018 22:26:34.740000,33.81,28.0,61.0
04/01/2018 22:29:14.826666,31.38,29.0,61.0
04/01/2018 22:31:54.706666,29.71,29.0,60.0
04/01/2018 22:34:34.683333,25.8,29.0,65.0
04/01/2018 22:38:34.643333,29.55,28.0,62.0
04/01/2018 22:41:14.810000,28.9,29.0,62.0
04/01/2018 22:43:55.053333,26.24,27.0,67.0
04/01/2018 22:46:34.766666,29.46,26.0,69.0
04/01/2018 22:50:35.096666,30.6,27.0,62.0
04/01/2018 22:53:14.770000,31.0,25.0,67.0
04/01/2018 22:55:54.646666,32.92,27.0,62.0
04/01/2018 22:58:35.006666,27.71,26.0,68.0
04/01/2018 23:02:34.653333,31.5,25.0,64.0
04/01/2018 23:05:15.993333,29.86,26.0,64.0
04/01/2018 23:07:54.663333,31.95,28.0,61.0
04/01/2018 23:10:34.860000,29.75,28.0,62.0
04/01/2018 23:14:34.990000,28.05,29.0,63.0
04/01/2018 23:17:14.683333,29.5,29.0,62.0
04/01/2018 23:19:54.840000,28.52,28.0,63.0
04/01/2018 23:22:34.873333,30.88,28.0,61.0
04/01/2018 23:26:34.833333,28.05,29.0,61.0
04/01/2018 23:29:14.830000,26.59,28.0,64.0
04/01/2018 23:31:54.723333,30.1,29.0,64.0
04/01/2018 23:34:34.760000,31.38,29.0,60.0
04/01/2018 23:38:34.770000,28.62,29.0,61.0
04/01/2018 23:41:14.713333,27.45,29.0,64.0
04/01/2018 23:43:55.066666,28.59,28.0,63.0
04/01/2018 23:46:34.793333,26.1,28.0,63.0
04/01/2018 23:50:34.690000,27.12,25.0,69.0
04/01/2018 23:53:14.723333,26.1,25.0,67.0
04/01/2018 23:55:54.763333,28.48,24.0,67.0
04/01/2018 23:58:34.936666,28.3,23.0,69.0
04/02/2018 00:02:34.713333,28.83,27.0,63.0
04/02/2018 00:05:14.703333,27.51,27.0,63.0
04/02/2018 00:07:54.836666,28.82,26.0,63.0
04/02/2018 00:10:34.720000,26.05,26.0,64.0
04/02/2018 00:14:34.836666,27.18,27.0,64.0
04/02/2018 00:17:14.786666,28.71,26.0,64.0
