InstrumentName, Swansea (DEH),,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2018 22:04:37.830000,16.76,32.0,62.0
04/01/2018 22:08:37.836666,21.05,31.0,58.0
04/01/2018 22:11:17.836666,22.42,32.0,57.0
04/01/2018 22:13:58.083333,16.53,31.0,62.0
04/01/2018 22:16:38.010000,18.05,32.0,59.0
04/01/2018 22:20:37.920000,19.92,32.0,58.0
04/01/2018 22:23:17.886666,17.98,32.0,59.0
04/01/2018 22:25:57.796666,17.6,33.0,58.0
04/01/2018 22:28:37.896666,16.05,32.0,60.0
04/01/2018 22:32:38.206666,18.54,33.0,58.0
04/01/2018 22:35:17.773333,15.78,32.0,60.0
04/01/2018 22:37:58.043333,17.21,32.0,62.0
04/01/2018 22:40:37.876666,16.32,31.0,61.0
04/01/2018 22:44:38.686666,16.51,31.0,60.0
04/01/2018 22:47:17.846666,13.53,30.0,61.0
04/01/2018 22:49:58.356666,16.67,32.0,58.0
04/01/2018 22:52:38.030000,14.15,32.0,60.0
04/01/2018 22:56:37.790000,15.69,32.0,58.0
04/01/2018 22:59:18.120000,14.55,33.0,58.0
04/01/2018 23:01:57.930000,14.32,33.0,58.0
04/01/2018 23:04:37.766666,14.95,33.0,58.0
04/01/2018 23:08:38.083333,13.05,32.0,59.0
04/01/2018 23:11:17.873333,12.38,32.0,60.0
04/01/2018 23:13:58.620000,12.18,32.0,58.0
04/01/2018 23:16:37.920000,13.62,33.0,60.0
04/01/2018 23:20:38.226666,11.62,29.0,64.0
04/01/2018 23:23:17.870000,12.59,32.0,60.0
04/01/2018 23:25:57.916666,13.49,33.0,59.0
04/01/2018 23:28:38.386666,12.26,33.0,59.0
04/01/2018 23:32:38.030000,11.95,31.0,60.0
04/01/2018 23:35:18.640000,11.62,32.0,60.0
04/01/2018 23:37:58.170000,10.95,32.0,59.0
04/01/2018 23:40:37.880000,10.43,32.0,61.0
04/01/2018 23:44:37.843333,12.45,32.0,60.0
04/01/2018 23:47:17.856666,11.87,32.0,59.0
04/01/2018 23:49:58.120000,9.69,32.0,61.0
04/01/2018 23:52:37.873333,9.56,31.0,60.0
04/01/2018 23:56:40.483333,10.39,31.0,60.0
04/01/2018 23:59:18.006666,11.8,32.0,60.0
