InstrumentName, 26th and Williams B,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/17/2018 14:43:16.753333,3.02,11.0,70.0
04/17/2018 14:47:16.686666,2.35,11.0,70.0
04/17/2018 14:49:56.783333,2.4,11.0,70.0
04/17/2018 14:52:38.680000,2.36,11.0,70.0
04/17/2018 14:56:36.753333,2.76,10.0,70.0
04/17/2018 14:59:17.016666,2.81,10.0,70.0
04/17/2018 15:01:56.706666,2.56,10.0,71.0
04/17/2018 15:04:36.716666,3.69,10.0,71.0
04/17/2018 15:08:36.783333,3.16,10.0,71.0
04/17/2018 15:11:16.716666,2.33,10.0,71.0
04/17/2018 15:13:56.716666,2.67,9.0,71.0
04/17/2018 15:16:36.763333,2.95,9.0,71.0
04/17/2018 15:19:16.830000,3.0,9.0,71.0
04/17/2018 15:23:16.733333,3.0,9.0,71.0
04/17/2018 15:25:57.136666,3.43,8.0,71.0
04/17/2018 15:28:36.733333,3.84,8.0,71.0
04/17/2018 15:32:37.313333,3.12,8.0,71.0
04/17/2018 15:35:16.753333,2.17,8.0,71.0
04/17/2018 15:37:56.746666,4.51,8.0,72.0
04/17/2018 15:40:36.786666,3.46,7.0,71.0
04/17/2018 15:44:36.796666,3.0,7.0,71.0
04/17/2018 15:47:16.770000,4.69,7.0,71.0
04/17/2018 15:49:56.776666,1.79,7.0,71.0
04/17/2018 15:52:36.773333,3.29,7.0,72.0
04/17/2018 15:56:36.773333,3.05,7.0,72.0
04/17/2018 15:59:16.826666,3.64,8.0,72.0
04/17/2018 16:01:56.790000,3.58,7.0,72.0
04/17/2018 16:04:36.776666,3.45,7.0,72.0
04/17/2018 16:07:16.780000,3.36,7.0,72.0
04/17/2018 16:09:56.836666,2.13,7.0,72.0
04/17/2018 16:13:56.786666,3.2,7.0,73.0
04/17/2018 16:16:36.806666,3.3,7.0,73.0
04/17/2018 16:19:16.800000,3.38,7.0,73.0
04/17/2018 16:23:16.836666,2.98,7.0,73.0
04/17/2018 16:25:56.833333,2.95,7.0,73.0
04/17/2018 16:28:36.806666,2.79,7.0,73.0
04/17/2018 16:31:16.870000,2.83,7.0,73.0
04/17/2018 16:35:18.656666,4.02,7.0,73.0
04/17/2018 16:37:56.983333,2.47,7.0,73.0
04/17/2018 16:40:36.993333,2.93,7.0,73.0
04/17/2018 16:43:16.933333,3.42,7.0,73.0
04/17/2018 16:47:16.826666,2.91,7.0,73.0
04/17/2018 16:49:56.833333,2.77,7.0,74.0
04/17/2018 16:52:36.833333,3.51,7.0,74.0
04/17/2018 16:55:16.896666,3.83,6.0,74.0
04/17/2018 16:59:16.840000,3.26,7.0,74.0
04/17/2018 17:01:56.863333,3.31,6.0,74.0
04/17/2018 17:04:36.906666,3.56,6.0,74.0
04/17/2018 17:08:36.860000,3.27,6.0,75.0
04/17/2018 17:11:16.926666,3.93,6.0,75.0
04/17/2018 17:13:56.900000,3.0,6.0,75.0
04/17/2018 17:16:36.973333,3.12,6.0,75.0
04/17/2018 17:20:36.906666,2.88,6.0,75.0
04/17/2018 17:23:16.883333,3.17,6.0,75.0
04/17/2018 17:25:56.870000,3.6,6.0,75.0
04/17/2018 17:28:36.900000,2.83,6.0,75.0
04/17/2018 17:32:36.996666,3.1,6.0,76.0
04/17/2018 17:35:16.896666,2.91,6.0,76.0
04/17/2018 17:37:56.903333,3.18,6.0,76.0
04/17/2018 17:40:36.986666,2.69,5.0,76.0
04/17/2018 17:44:37.010000,3.45,5.0,76.0
04/17/2018 17:47:16.926666,3.62,5.0,76.0
04/17/2018 17:49:56.983333,4.12,5.0,76.0
04/17/2018 17:52:36.986666,2.67,5.0,76.0
04/17/2018 17:56:36.916666,4.08,5.0,76.0
04/17/2018 17:59:16.956666,4.14,5.0,76.0
04/17/2018 18:01:56.933333,2.77,5.0,76.0
04/17/2018 18:04:36.923333,3.34,5.0,77.0
04/17/2018 18:08:37.080000,3.0,5.0,77.0
04/17/2018 18:11:16.936666,3.21,5.0,77.0
04/17/2018 18:13:56.933333,3.44,5.0,77.0
04/17/2018 18:16:36.936666,4.86,5.0,77.0
04/17/2018 18:20:36.946666,3.17,5.0,77.0
04/17/2018 18:23:16.950000,3.33,6.0,77.0
04/17/2018 18:25:56.946666,2.88,5.0,78.0
04/17/2018 18:28:37.010000,2.62,5.0,76.0
04/17/2018 18:31:17.010000,3.14,5.0,77.0
04/17/2018 18:33:57.056666,2.37,6.0,76.0
04/17/2018 18:37:56.966666,3.11,6.0,77.0
04/17/2018 18:40:36.960000,3.42,5.0,77.0
04/17/2018 18:43:16.976666,6.08,5.0,77.0
04/17/2018 18:47:16.983333,3.9,6.0,77.0
04/17/2018 18:49:56.983333,3.57,6.0,78.0
04/17/2018 18:52:37.000000,3.18,6.0,78.0
04/17/2018 18:55:17.086666,3.09,6.0,77.0
04/17/2018 18:59:16.996666,2.85,6.0,76.0
04/17/2018 19:01:58.916666,3.2,5.0,77.0
04/17/2018 19:04:37.000000,2.86,5.0,77.0
04/17/2018 19:07:17.000000,3.1,5.0,78.0
04/17/2018 19:11:17.000000,2.71,5.0,78.0
04/17/2018 19:13:57.036666,2.61,5.0,78.0
04/17/2018 19:16:37.010000,3.55,5.0,78.0
04/17/2018 19:19:17.090000,2.9,5.0,78.0
04/17/2018 19:23:17.196666,3.07,5.0,78.0
04/17/2018 19:25:57.030000,2.86,5.0,78.0
04/17/2018 19:28:37.330000,2.07,5.0,78.0
04/17/2018 19:32:37.030000,2.42,5.0,78.0
04/17/2018 19:35:17.056666,3.08,5.0,78.0
04/17/2018 19:37:57.076666,1.95,5.0,78.0
04/17/2018 19:40:37.130000,3.02,5.0,78.0
04/17/2018 19:44:37.046666,2.24,5.0,78.0
04/17/2018 19:47:17.056666,2.67,5.0,78.0
04/17/2018 19:49:57.046666,3.05,6.0,77.0
04/17/2018 19:52:37.126666,3.02,6.0,75.0
