InstrumentName, Columbian Elem (CS23),
StartTime, 2022-01-01 00:00:00,
EndTime, 2022-01-31 23:59:59,
Date,*Lat,*Lon
01/12/2022 06:26:03.821000,0.0,0.0
01/12/2022 06:27:06.028000,0.0,0.0
01/12/2022 06:28:04.253000,0.0,0.0
01/12/2022 06:29:04.940000,0.0,0.0
01/12/2022 06:30:04.473000,0.0,0.0
01/12/2022 06:31:04.567000,0.0,0.0
01/12/2022 06:32:04.644000,0.0,0.0
01/12/2022 06:33:05.415000,0.0,0.0
01/12/2022 06:34:06.914000,0.0,0.0
01/12/2022 06:35:04.507000,0.0,0.0
01/12/2022 06:36:05.288000,0.0,0.0
01/12/2022 06:37:05.019000,0.0,0.0
01/12/2022 06:38:03.500000,0.0,0.0
01/12/2022 06:39:05.195000,0.0,0.0
01/12/2022 06:40:03.973000,0.0,0.0
01/12/2022 06:41:04.707000,0.0,0.0
01/12/2022 06:42:04.928000,0.0,0.0
01/12/2022 06:43:05.216000,0.0,0.0
01/12/2022 06:44:03.987000,0.0,0.0
01/12/2022 06:45:04.475000,0.0,0.0
01/12/2022 06:46:03.805000,0.0,0.0
01/12/2022 06:47:02.743000,0.0,0.0
01/12/2022 06:48:04.741000,0.0,0.0
01/12/2022 06:49:05.760000,0.0,0.0
01/12/2022 06:50:05.803000,0.0,0.0
01/12/2022 06:51:02.996000,0.0,0.0
01/12/2022 06:52:05.258000,0.0,0.0
01/12/2022 06:53:05.212000,0.0,0.0
01/12/2022 06:54:04.101000,0.0,0.0
01/12/2022 06:55:04.147000,0.0,0.0
01/12/2022 06:56:03.866000,0.0,0.0
01/12/2022 06:57:04.579000,0.0,0.0
01/12/2022 06:58:05.960000,0.0,0.0
01/12/2022 06:59:04.054000,0.0,0.0
01/12/2022 07:00:27.913000,39.74083,-105.19865
01/12/2022 07:01:37.959000,39.74083,-105.19865
01/12/2022 07:02:56.443000,39.74083,-105.19865
01/12/2022 07:04:08.843000,39.74083,-105.19865
01/12/2022 07:04:08.918000,39.74083,-105.19865
01/12/2022 07:05:23.077000,39.74083,-105.19865
01/12/2022 07:06:39.813000,39.74083,-105.19865
01/12/2022 07:07:52.810000,39.74083,-105.19865
01/12/2022 07:08:57.397000,39.74083,-105.19865
01/12/2022 07:09:03.072000,39.74083,-105.19865
01/12/2022 07:10:12.256000,39.74083,-105.19865
01/12/2022 07:11:25.213000,39.74083,-105.19865
01/12/2022 07:12:36.249000,39.74083,-105.19865
01/12/2022 07:13:48.692000,39.74083,-105.19865
01/12/2022 07:15:06.049000,39.74083,-105.19865
01/12/2022 07:15:06.291000,39.74083,-105.19865
01/12/2022 07:16:20.297000,39.74083,-105.19865
01/12/2022 07:17:41.436000,39.74083,-105.19865
01/12/2022 07:18:59.689000,39.74083,-105.19865
01/12/2022 07:19:02.509000,39.74083,-105.19865
01/12/2022 07:20:13.256000,39.74083,-105.19865
01/12/2022 07:21:24.909000,39.74083,-105.19865
01/12/2022 07:22:40.422000,39.74083,-105.19865
01/12/2022 07:24:08.868000,39.74083,-105.19865
01/12/2022 07:24:08.913000,39.74083,-105.19865
01/12/2022 07:25:32.174000,39.74083,-105.19865
01/12/2022 07:26:54.078000,39.74083,-105.19865
01/12/2022 07:28:15.841000,39.74083,-105.19865
01/12/2022 07:28:15.918000,39.74083,-105.19865
01/12/2022 07:29:35.181000,39.74083,-105.19865
01/12/2022 07:30:36.348000,39.74083,-105.19865
01/12/2022 07:31:55.431000,39.74083,-105.19865
01/12/2022 07:33:14.096000,39.74083,-105.19865
01/12/2022 07:33:14.354000,39.74083,-105.19865
01/12/2022 07:34:36.564000,39.74083,-105.19865
01/12/2022 07:35:55.990000,39.74083,-105.19865
01/12/2022 07:37:22.538000,39.74083,-105.19865
01/12/2022 07:37:22.555000,39.74083,-105.19865
01/12/2022 07:41:01.670000,0.0,0.0
01/12/2022 07:42:04.287000,0.0,0.0
01/12/2022 07:43:04.961000,0.0,0.0
01/12/2022 07:44:03.366000,0.0,0.0
01/12/2022 07:45:04.502000,0.0,0.0
01/12/2022 07:46:05.269000,0.0,0.0
01/12/2022 07:47:05.476000,0.0,0.0
01/12/2022 07:48:06.880000,0.0,0.0
01/12/2022 07:49:04.487000,0.0,0.0
01/12/2022 07:50:05.105000,0.0,0.0
01/12/2022 07:51:05.549000,0.0,0.0
01/12/2022 07:52:03.021000,0.0,0.0
01/12/2022 07:53:02.812000,0.0,0.0
01/12/2022 07:54:03.610000,0.0,0.0
01/12/2022 07:55:04.664000,0.0,0.0
01/12/2022 07:56:05.048000,0.0,0.0
01/12/2022 07:57:04.766000,0.0,0.0
01/12/2022 07:58:04.889000,0.0,0.0
01/12/2022 07:59:03.134000,0.0,0.0
01/12/2022 08:00:28.123000,39.74083,-105.19865
01/12/2022 08:01:48.092000,39.74083,-105.19865
01/12/2022 08:03:07.351000,39.74083,-105.19865
01/12/2022 08:03:07.466000,39.74083,-105.19865
01/12/2022 08:04:19.695000,39.74083,-105.19865
01/12/2022 08:05:31.439000,39.74083,-105.19865
01/12/2022 08:06:44.180000,39.74083,-105.19865
01/12/2022 08:07:59.173000,39.74083,-105.19865
01/12/2022 08:08:02.423000,39.74083,-105.19865
01/12/2022 08:09:20.552000,39.74083,-105.19865
01/12/2022 08:10:40.677000,39.74083,-105.19865
01/12/2022 08:12:03.127000,39.74083,-105.19865
01/12/2022 08:12:03.673000,39.74083,-105.19865
01/12/2022 08:13:24.882000,39.74083,-105.19865
01/12/2022 08:14:48.303000,39.74083,-105.19865
01/12/2022 08:16:11.736000,39.74083,-105.19865
01/12/2022 08:16:11.748000,39.74083,-105.19865
01/12/2022 08:17:30.646000,39.74083,-105.19865
01/12/2022 08:19:01.599000,39.74083,-105.19865
01/12/2022 08:19:02.108000,39.74083,-105.19865
01/12/2022 08:20:25.062000,39.74083,-105.19865
01/12/2022 08:21:38.575000,39.74083,-105.19865
01/12/2022 08:22:55.332000,39.74083,-105.19865
01/12/2022 08:24:14.360000,39.74083,-105.19865
01/12/2022 08:24:14.431000,39.74083,-105.19865
01/12/2022 08:28:02.871000,0.0,0.0
01/12/2022 08:29:04.267000,0.0,0.0
01/12/2022 08:30:03.957000,0.0,0.0
01/12/2022 08:31:05.075000,0.0,0.0
01/12/2022 08:32:02.829000,0.0,0.0
01/12/2022 08:33:02.732000,0.0,0.0
01/12/2022 08:34:04.770000,0.0,0.0
01/12/2022 08:35:04.100000,0.0,0.0
01/12/2022 08:36:02.993000,0.0,0.0
01/12/2022 08:37:05.982000,0.0,0.0
01/12/2022 08:38:03.839000,0.0,0.0
01/12/2022 08:39:05.295000,0.0,0.0
01/12/2022 08:40:02.661000,0.0,0.0
01/12/2022 08:41:03.500000,0.0,0.0
01/12/2022 08:42:03.662000,0.0,0.0
01/12/2022 08:43:03.484000,0.0,0.0
01/12/2022 08:44:03.628000,0.0,0.0
01/12/2022 08:45:03.671000,0.0,0.0
01/12/2022 08:46:05.072000,0.0,0.0
01/12/2022 08:47:03.661000,0.0,0.0
01/12/2022 08:48:04.260000,0.0,0.0
01/12/2022 08:49:03.781000,0.0,0.0
01/12/2022 08:50:04.670000,0.0,0.0
01/12/2022 08:51:04.299000,0.0,0.0
01/12/2022 08:52:03.451000,0.0,0.0
01/12/2022 08:53:03.200000,0.0,0.0
01/12/2022 08:54:02.976000,0.0,0.0
01/12/2022 08:55:03.193000,0.0,0.0
01/12/2022 08:56:04.720000,0.0,0.0
01/12/2022 08:57:03.333000,0.0,0.0
01/12/2022 08:58:03.563000,0.0,0.0
01/12/2022 08:59:04.376000,0.0,0.0
01/12/2022 09:00:29.494000,39.74083,-105.19865
01/12/2022 09:01:52.445000,39.74083,-105.19865
01/12/2022 09:03:18.211000,39.74083,-105.19865
01/12/2022 09:03:18.415000,39.74083,-105.19865
01/12/2022 09:07:03.970000,0.0,0.0
01/12/2022 09:08:05.331000,0.0,0.0
01/12/2022 09:09:03.658000,0.0,0.0
01/12/2022 09:10:04.136000,0.0,0.0
01/12/2022 09:11:04.432000,0.0,0.0
01/12/2022 09:12:04.000000,0.0,0.0
01/12/2022 09:13:04.113000,0.0,0.0
01/12/2022 09:14:03.820000,0.0,0.0
01/12/2022 09:15:04.845000,0.0,0.0
01/12/2022 09:16:05.558000,0.0,0.0
01/12/2022 09:17:05.868000,0.0,0.0
01/12/2022 09:18:03.301000,0.0,0.0
01/12/2022 09:19:03.497000,0.0,0.0
01/12/2022 09:20:03.839000,0.0,0.0
01/12/2022 09:21:04.230000,0.0,0.0
01/12/2022 09:22:03.496000,0.0,0.0
01/12/2022 09:23:03.574000,0.0,0.0
01/12/2022 09:24:05.166000,0.0,0.0
01/12/2022 09:25:05.110000,0.0,0.0
01/12/2022 09:26:03.787000,0.0,0.0
01/12/2022 09:27:05.290000,0.0,0.0
01/12/2022 09:28:03.920000,0.0,0.0
01/12/2022 09:29:04.269000,0.0,0.0
01/12/2022 09:30:05.096000,0.0,0.0
01/12/2022 09:31:05.859000,0.0,0.0
01/12/2022 09:32:04.631000,0.0,0.0
01/12/2022 09:33:03.153000,0.0,0.0
01/12/2022 09:34:03.461000,0.0,0.0
01/12/2022 09:35:04.104000,0.0,0.0
01/12/2022 09:36:04.938000,0.0,0.0
01/12/2022 09:37:05.605000,0.0,0.0
