InstrumentName, I-25 Denver
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,CO,NO2,PM2.5
10/14/2021 20:00:00,0.403,18.0,6.6
10/14/2021 21:00:00,0.494,27.0,5.5
10/14/2021 22:00:00,0.485,21.0,6.0
10/14/2021 23:00:00,0.438,15.0,5.3
10/15/2021 00:00:00,0.227,10.0,5.1
10/15/2021 01:00:00,0.216,9.0,5.9
10/15/2021 02:00:00,0.217,9.0,6.2
10/15/2021 03:00:00,0.245,12.0,7.4
10/15/2021 04:00:00,0.219,,7.4
10/15/2021 06:00:00,0.407,20.0,10.9
10/15/2021 07:00:00,0.442,26.0,12.2
10/15/2021 09:00:00,0.396,24.0,13.1
10/15/2021 11:00:00,0.508,24.0,3.2
10/15/2021 12:00:00,0.666,31.0,3.3
10/15/2021 13:00:00,0.544,25.0,2.6
10/15/2021 14:00:00,0.511,25.0,3.3
10/15/2021 16:00:00,0.403,15.0,2.6
10/15/2021 17:00:00,0.432,18.0,2.4
10/15/2021 18:00:00,0.392,19.0,2.2
10/15/2021 19:00:00,0.415,16.0,1.8
10/15/2021 20:00:00,0.419,19.0,2.3
10/15/2021 21:00:00,0.398,20.0,1.8
10/15/2021 22:00:00,0.455,20.0,2.8
10/15/2021 23:00:00,0.592,23.0,2.7
10/16/2021 00:00:00,0.839,30.0,3.1
10/16/2021 01:00:00,0.903,32.0,4.5
10/16/2021 02:00:00,0.611,35.0,4.7
10/16/2021 03:00:00,0.592,31.0,5.0
10/16/2021 04:00:00,0.323,,3.2
10/16/2021 05:00:00,0.303,16.0,2.6
10/16/2021 06:00:00,0.324,24.0,10.6
10/16/2021 07:00:00,0.35,33.0,11.4
10/16/2021 09:00:00,0.462,32.0,5.0
10/16/2021 10:00:00,0.644,36.0,6.0
10/16/2021 11:00:00,0.759,36.0,6.0
10/16/2021 12:00:00,0.986,37.0,6.4
10/16/2021 13:00:00,0.732,41.0,7.2
10/16/2021 14:00:00,0.35,24.0,3.8
10/16/2021 15:00:00,0.303,18.0,3.5
10/16/2021 17:00:00,0.27,8.0,1.8
10/16/2021 18:00:00,0.245,8.0,1.6
10/16/2021 19:00:00,0.17,4.0,1.1
10/16/2021 20:00:00,0.339,10.0,1.1
10/16/2021 21:00:00,0.29,9.0,1.3
10/16/2021 22:00:00,0.163,3.0,1.1
10/16/2021 23:00:00,0.204,6.0,1.7
10/17/2021 00:00:00,0.253,9.0,2.5
10/17/2021 01:00:00,0.397,19.0,3.5
10/17/2021 03:00:00,1.173,42.0,12.8
10/17/2021 04:00:00,0.784,,7.8
10/17/2021 05:00:00,0.687,36.0,7.0
10/17/2021 06:00:00,1.12,39.0,9.1
10/17/2021 07:00:00,1.097,36.0,9.7
10/17/2021 09:00:00,1.12,31.0,12.1
10/17/2021 10:00:00,1.018,30.0,8.8
10/17/2021 11:00:00,0.836,29.0,7.3
10/17/2021 12:00:00,0.715,29.0,6.6
10/17/2021 13:00:00,0.849,29.0,5.9
10/17/2021 14:00:00,0.714,27.0,5.4
10/17/2021 15:00:00,0.373,19.0,3.9
10/17/2021 16:00:00,0.264,13.0,2.5
10/17/2021 17:00:00,0.283,13.0,1.9
10/17/2021 18:00:00,0.308,12.0,1.8
10/17/2021 19:00:00,0.323,10.0,1.8
10/17/2021 20:00:00,0.355,11.0,2.2
10/17/2021 21:00:00,0.472,19.0,2.5
10/17/2021 22:00:00,0.524,23.0,2.3
10/17/2021 23:00:00,0.719,25.0,3.1
10/18/2021 00:00:00,0.804,33.0,6.5
10/18/2021 01:00:00,0.658,31.0,7.6
10/18/2021 03:00:00,0.739,44.0,6.9
10/18/2021 04:00:00,0.692,,8.2
10/18/2021 05:00:00,0.537,42.0,9.8
10/18/2021 06:00:00,0.807,39.0,7.3
10/18/2021 07:00:00,0.978,37.0,8.3
10/18/2021 09:00:00,0.605,33.0,6.4
10/18/2021 10:00:00,0.561,33.0,7.0
10/18/2021 11:00:00,0.632,34.0,5.9
10/18/2021 12:00:00,1.12,36.0,8.9
10/18/2021 14:00:00,,42.0,18.4
10/18/2021 15:00:00,1.062,43.0,15.9
10/18/2021 16:00:00,0.489,33.0,11.4
10/18/2021 17:00:00,0.398,24.0,6.7
10/18/2021 19:00:00,0.363,23.0,2.8
10/18/2021 20:00:00,0.265,,2.7
10/18/2021 21:00:00,0.243,10.0,2.8
10/18/2021 22:00:00,0.397,22.0,2.4
10/19/2021 00:00:00,0.725,41.0,3.7
10/19/2021 01:00:00,0.692,43.0,5.7
10/19/2021 02:00:00,0.571,33.0,5.3
10/19/2021 03:00:00,0.458,27.0,4.8
10/19/2021 05:00:00,0.558,31.0,6.1
10/19/2021 06:00:00,0.549,31.0,6.0
10/19/2021 07:00:00,0.568,34.0,8.6
10/19/2021 09:00:00,0.505,31.0,7.1
10/19/2021 10:00:00,0.474,30.0,6.4
10/19/2021 11:00:00,0.73,32.0,6.3
10/19/2021 12:00:00,0.854,34.0,9.2
