InstrumentName, The GrowHaus,,
StartTime, 2018-12-01 00:00:00,,
EndTime, 2018-12-31 23:59:59,,
Date,PM2.5,humidity,temp_f
12/17/2018 22:20:59.793333,8.56,13.0,84.0
12/17/2018 22:23:39.636666,3.63,13.0,84.0
12/17/2018 22:24:59.610000,5.73,13.0,84.0
12/17/2018 22:27:39.923333,3.98,12.0,84.0
12/17/2018 22:28:59.613333,3.42,12.0,84.0
12/17/2018 22:31:39.926666,3.1,12.0,84.0
12/17/2018 22:32:59.660000,4.03,12.0,84.0
12/17/2018 22:35:39.586666,3.74,12.0,84.0
12/17/2018 22:36:59.580000,4.85,12.0,84.0
12/17/2018 22:39:39.626666,6.31,13.0,84.0
12/17/2018 22:40:59.596666,6.95,13.0,84.0
12/17/2018 22:43:39.640000,7.8,13.0,84.0
12/17/2018 22:44:59.716666,7.51,13.0,84.0
12/17/2018 22:47:39.600000,6.7,13.0,84.0
12/17/2018 22:48:59.613333,5.76,13.0,84.0
12/17/2018 22:51:39.593333,4.49,13.0,84.0
12/17/2018 22:52:59.616666,4.37,13.0,84.0
12/17/2018 22:55:39.603333,6.35,13.0,84.0
12/17/2018 22:56:59.633333,5.14,13.0,82.66666666666667
12/17/2018 22:59:39.616666,7.2,13.0,82.66666666666667
12/17/2018 23:21:00.202000,9.35,14.0,81.33333333333333
12/17/2018 23:22:19.758000,9.55,14.0,81.33333333333333
12/17/2018 23:23:39.662000,8.71,14.0,81.33333333333333
12/17/2018 23:24:59.617000,11.6,14.0,81.33333333333333
12/17/2018 23:27:40.683000,11.48,15.0,81.33333333333333
12/17/2018 23:28:59.628000,11.12,15.0,80.0
12/17/2018 23:31:45.721000,11.68,14.0,80.0
12/17/2018 23:32:59.705000,8.59,15.0,80.0
12/17/2018 23:35:39.737000,8.95,15.0,80.0
12/17/2018 23:36:59.912000,9.35,15.0,80.0
12/17/2018 23:39:39.634000,11.29,15.0,80.0
12/17/2018 23:40:59.631000,10.12,15.0,80.0
12/17/2018 23:43:39.645000,13.36,16.0,78.66666666666667
12/17/2018 23:44:59.660000,10.73,16.0,78.66666666666667
12/17/2018 23:47:39.686000,13.26,16.0,78.66666666666667
12/17/2018 23:48:59.650000,13.71,16.0,78.66666666666667
12/17/2018 23:51:39.656000,13.05,16.0,78.66666666666667
12/17/2018 23:52:59.672000,11.57,16.0,78.66666666666667
12/17/2018 23:55:39.656000,12.98,16.0,78.66666666666667
12/17/2018 23:56:59.660000,12.07,16.0,78.66666666666667
12/17/2018 23:59:39.721000,11.37,16.0,78.66666666666667
12/18/2018 00:00:59.651000,9.88,16.0,77.33333333333333
12/18/2018 00:03:39.662000,9.69,16.0,77.33333333333333
12/18/2018 00:04:59.673000,11.68,16.0,77.33333333333333
12/18/2018 00:07:39.643000,12.26,16.0,77.33333333333333
12/18/2018 00:08:59.672000,12.56,16.0,77.33333333333333
12/18/2018 00:11:39.690000,11.54,17.0,77.33333333333333
12/18/2018 00:12:59.734000,10.76,17.0,77.33333333333333
12/18/2018 00:15:39.671000,12.0,17.0,77.33333333333333
12/18/2018 00:16:59.706000,16.3,17.0,77.33333333333333
12/18/2018 00:19:39.724000,13.17,17.0,76.0
12/18/2018 00:20:59.725000,13.56,17.0,76.0
12/18/2018 00:23:39.715000,10.79,17.0,76.0
12/18/2018 00:24:59.741000,12.85,17.0,76.0
12/18/2018 00:27:40.003000,36.8,17.0,76.0
12/18/2018 00:28:59.677000,109.35,17.0,76.0
12/18/2018 00:31:39.666000,65.2,17.0,74.66666666666667
12/18/2018 00:32:59.705000,52.73,17.0,74.66666666666667
