InstrumentName, Woods Park,,
StartTime, 2022-05-01 00:00:00,,
EndTime, 2022-05-31 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
05/01/2022 12:24:51.000000,9.23,15.87,14.68
05/01/2022 12:26:51.000000,9.5,17.48,15.52
05/01/2022 12:28:51.000000,8.81,16.19,14.59
05/01/2022 12:34:51.000000,10.2,18.17,16.8
05/01/2022 12:36:51.000000,10.4,17.12,16.21
05/01/2022 12:38:51.000000,10.16,17.88,16.86
05/01/2022 12:40:51.000000,10.0,16.27,15.34
05/01/2022 12:42:51.000000,10.47,17.22,16.31
05/01/2022 12:44:51.000000,9.78,16.1,14.1
05/01/2022 12:46:51.000000,10.18,16.82,14.86
05/01/2022 12:48:51.000000,10.26,17.72,15.91
05/01/2022 12:50:51.000000,9.46,15.81,14.9
05/01/2022 12:52:51.000000,9.22,16.42,14.86
05/01/2022 12:54:51.000000,9.59,15.79,14.96
05/01/2022 12:56:51.000000,10.0,16.77,15.29
05/01/2022 12:58:51.000000,8.98,15.0,14.15
05/01/2022 13:00:51.000000,9.07,15.57,14.64
05/01/2022 13:02:51.000000,9.54,16.42,14.86
05/01/2022 13:04:51.000000,9.32,14.88,13.86
05/01/2022 13:06:51.000000,8.64,14.02,12.71
05/01/2022 13:08:51.000000,8.43,13.87,12.17
05/01/2022 13:10:52.000000,7.93,13.17,12.22
05/01/2022 13:12:52.000000,6.75,10.72,9.9
05/01/2022 13:14:52.000000,7.39,13.26,11.77
05/01/2022 13:16:52.000000,7.51,12.42,11.6
05/01/2022 13:18:52.000000,6.42,10.16,9.77
05/01/2022 13:20:52.000000,5.7,9.77,8.87
05/01/2022 13:22:52.000000,6.34,10.58,9.78
05/01/2022 13:24:52.000000,5.93,10.86,10.29
05/01/2022 13:26:52.000000,6.41,10.12,9.38
05/01/2022 13:28:52.000000,7.73,12.92,11.81
05/01/2022 13:30:52.000000,10.25,15.66,14.51
05/01/2022 13:34:52.000000,9.75,15.61,14.12
05/01/2022 13:36:52.000000,9.19,14.24,13.31
05/01/2022 13:38:52.000000,8.98,14.83,13.8
05/01/2022 13:40:52.000000,8.57,14.05,12.9
05/01/2022 13:42:52.000000,11.15,18.35,16.91
05/01/2022 13:44:52.000000,14.53,22.6,21.21
05/01/2022 13:46:52.000000,12.53,18.28,17.57
05/01/2022 13:48:52.000000,10.29,17.83,16.02
05/01/2022 13:52:52.000000,9.74,15.96,15.19
05/01/2022 13:54:52.000000,8.03,13.05,11.73
05/01/2022 13:58:52.000000,7.19,12.23,11.04
05/01/2022 14:00:52.000000,8.05,13.09,12.18
05/01/2022 14:02:52.000000,7.02,12.47,11.22
05/01/2022 14:04:52.000000,6.86,11.09,10.36
05/01/2022 14:06:52.000000,6.6,10.23,9.44
05/01/2022 14:10:52.000000,7.24,11.31,10.51
05/01/2022 14:14:53.000000,7.38,11.83,10.74
05/01/2022 14:16:53.000000,7.35,11.3,10.55
05/01/2022 14:18:53.000000,7.07,11.71,11.02
05/01/2022 14:20:53.000000,7.96,12.98,12.45
05/01/2022 14:22:53.000000,7.67,11.9,10.88
05/01/2022 14:24:53.000000,7.14,11.97,10.64
05/01/2022 14:26:53.000000,7.17,11.81,11.03
05/01/2022 14:28:53.000000,7.32,12.4,11.33
05/01/2022 14:30:53.000000,6.98,12.33,11.44
05/01/2022 14:34:53.000000,6.72,11.33,10.15
05/01/2022 14:36:53.000000,7.74,11.69,11.0
05/01/2022 14:40:53.000000,7.25,12.05,11.31
05/01/2022 14:42:53.000000,7.71,12.12,10.84
05/01/2022 14:44:53.000000,7.14,11.32,10.32
05/01/2022 14:46:53.000000,6.43,10.41,9.48
05/01/2022 14:48:53.000000,7.21,11.91,11.39
05/01/2022 14:50:53.000000,8.37,13.64,12.93
05/01/2022 14:52:53.000000,8.47,13.34,12.85
05/01/2022 14:54:53.000000,7.73,13.12,12.45
05/01/2022 14:56:53.000000,8.18,13.23,12.51
05/01/2022 14:58:53.000000,7.54,13.71,12.34
05/01/2022 15:00:53.000000,8.58,15.59,14.46
05/01/2022 15:02:53.000000,7.7,14.07,12.12
05/01/2022 15:04:53.000000,8.11,13.79,12.8
05/01/2022 15:06:53.000000,8.85,14.83,13.73
05/01/2022 15:08:53.000000,9.31,15.56,14.41
05/01/2022 15:10:53.000000,7.86,13.07,12.14
05/01/2022 15:12:53.000000,8.56,14.32,13.53
05/01/2022 15:14:53.000000,8.58,15.15,14.08
05/01/2022 15:16:53.000000,8.77,15.66,13.75
05/01/2022 15:18:53.000000,8.65,15.04,13.91
05/01/2022 15:20:53.000000,9.15,16.14,14.97
05/01/2022 15:22:53.000000,8.42,14.57,13.73
05/01/2022 15:24:53.000000,8.46,15.04,14.04
05/01/2022 15:26:53.000000,9.07,14.86,13.88
05/01/2022 15:28:53.000000,8.08,15.37,13.46
05/01/2022 15:32:53.000000,8.53,15.96,14.09
05/01/2022 15:34:53.000000,8.46,15.89,14.21
05/01/2022 15:36:53.000000,8.22,13.72,13.22
05/01/2022 15:38:53.000000,7.95,14.78,13.29
05/01/2022 15:40:53.000000,7.84,14.21,12.63
05/01/2022 15:42:53.000000,8.07,13.04,11.79
05/01/2022 15:44:53.000000,8.0,14.09,12.81
05/01/2022 15:46:53.000000,7.74,13.79,12.43
05/01/2022 15:48:53.000000,8.05,15.69,13.31
05/01/2022 15:50:53.000000,7.73,14.0,12.32
05/01/2022 15:52:53.000000,8.0,13.6,13.28
05/01/2022 15:54:53.000000,8.22,14.22,13.38
05/01/2022 15:56:53.000000,7.92,14.56,12.93
05/01/2022 15:58:53.000000,7.79,14.64,13.07
05/01/2022 16:00:53.000000,7.96,14.79,13.55
05/01/2022 16:02:53.000000,7.71,14.19,13.32
05/01/2022 16:04:53.000000,7.39,13.81,12.69
05/01/2022 16:06:53.000000,8.0,13.96,12.93
05/01/2022 16:08:53.000000,7.55,14.16,12.52
05/01/2022 16:10:53.000000,8.05,14.0,12.71
05/01/2022 16:12:54.000000,8.33,15.33,14.22
05/01/2022 16:14:54.000000,7.79,12.96,12.16
05/01/2022 16:16:54.000000,7.61,14.19,13.17
05/01/2022 16:18:54.000000,7.15,13.78,12.66
05/01/2022 16:20:54.000000,8.71,14.46,12.84
05/01/2022 16:22:54.000000,7.98,13.43,12.69
05/01/2022 16:24:54.000000,8.0,13.07,12.42
05/01/2022 16:26:54.000000,7.79,13.98,12.77
05/01/2022 16:28:54.000000,8.18,13.88,12.12
05/01/2022 16:32:54.000000,7.56,13.14,11.95
05/01/2022 16:34:54.000000,8.15,13.66,12.85
05/01/2022 16:36:54.000000,7.54,13.96,12.74
05/01/2022 16:38:54.000000,7.26,13.98,12.65
05/01/2022 16:40:54.000000,7.05,12.54,11.98
05/01/2022 16:42:54.000000,7.72,12.75,12.15
05/01/2022 16:44:54.000000,7.74,14.14,13.21
05/01/2022 16:46:54.000000,7.56,13.35,12.19
05/01/2022 16:48:54.000000,7.49,13.67,12.4
05/01/2022 16:50:54.000000,7.29,13.59,12.22
05/01/2022 16:52:54.000000,7.37,12.66,12.02
05/01/2022 16:54:54.000000,7.63,13.14,12.25
05/01/2022 16:56:54.000000,8.45,14.71,13.55
05/01/2022 16:58:54.000000,8.32,13.55,12.58
05/01/2022 17:00:54.000000,7.69,13.29,12.2
05/01/2022 17:02:54.000000,7.84,13.3,11.43
05/01/2022 17:04:54.000000,7.14,11.75,10.81
05/01/2022 17:06:54.000000,6.98,11.42,10.47
05/01/2022 17:08:54.000000,6.86,10.95,10.56
05/01/2022 17:10:54.000000,7.03,11.09,10.14
05/01/2022 17:12:54.000000,6.63,10.77,10.07
05/01/2022 17:14:54.000000,6.92,11.1,10.19
05/01/2022 17:16:54.000000,6.61,10.43,9.93
05/01/2022 17:18:54.000000,6.38,10.78,10.09
05/01/2022 17:20:54.000000,5.58,9.44,8.8
05/01/2022 17:22:54.000000,6.34,10.22,9.52
05/01/2022 17:24:54.000000,5.48,8.3,7.79
05/01/2022 17:26:54.000000,6.21,9.88,8.95
05/01/2022 17:28:54.000000,6.34,9.61,9.03
05/01/2022 17:30:54.000000,6.22,9.8,9.07
05/01/2022 17:32:54.000000,6.16,9.39,8.95
05/01/2022 17:34:54.000000,6.58,10.86,10.3
05/01/2022 17:36:54.000000,5.58,9.32,9.05
05/01/2022 17:38:54.000000,5.22,8.43,7.93
05/01/2022 17:40:54.000000,5.44,8.73,8.14
05/01/2022 17:42:55.000000,6.63,9.42,9.02
05/01/2022 17:44:54.000000,5.16,8.48,7.9
05/01/2022 17:46:54.000000,5.6,8.79,8.43
05/01/2022 17:48:54.000000,5.25,8.63,8.46
