InstrumentName, I-25 Globeville,
StartTime, 2018-10-01 00:00:00,
EndTime, 2018-10-31 23:59:59,
Date,NO2,PM2.5
10/16/2018 20:00:00.000000,,5.9
10/16/2018 21:00:00.000000,,5.5
10/16/2018 22:00:00.000000,,5.5
10/16/2018 23:00:00.000000,,5.5
10/17/2018 00:00:00.000000,,6.3
10/17/2018 01:00:00.000000,,8.0
10/17/2018 02:00:00.000000,,11.1
10/17/2018 03:00:00.000000,,12.1
10/17/2018 04:00:00.000000,,12.1
10/17/2018 05:00:00.000000,,13.0
10/17/2018 06:00:00.000000,,10.9
10/17/2018 07:00:00.000000,,9.8
10/17/2018 08:00:00.000000,,8.7
10/17/2018 09:00:00.000000,,7.8
10/17/2018 10:00:00.000000,,8.0
10/17/2018 11:00:00.000000,,9.7
10/17/2018 12:00:00.000000,,11.1
10/17/2018 13:00:00.000000,,12.5
10/17/2018 14:00:00.000000,,14.1
10/17/2018 15:00:00.000000,,14.6
10/17/2018 16:00:00.000000,,13.3
10/17/2018 17:00:00.000000,,11.4
10/17/2018 18:00:00.000000,,8.9
10/17/2018 19:00:00.000000,,8.9
10/17/2018 20:00:00.000000,,7.0
10/17/2018 21:00:00.000000,,6.4
10/17/2018 22:00:00.000000,,7.3
10/17/2018 23:00:00.000000,,5.5
10/18/2018 00:00:00.000000,,4.5
10/18/2018 01:00:00.000000,,4.3
10/18/2018 02:00:00.000000,,4.0
10/18/2018 03:00:00.000000,,3.7
10/18/2018 04:00:00.000000,,3.1
10/18/2018 05:00:00.000000,,3.8
10/18/2018 06:00:00.000000,,3.1
10/18/2018 07:00:00.000000,,2.5
10/18/2018 08:00:00.000000,,2.1
10/18/2018 09:00:00.000000,,2.3
10/18/2018 10:00:00.000000,,2.5
10/18/2018 11:00:00.000000,,4.0
10/18/2018 12:00:00.000000,,5.8
10/18/2018 13:00:00.000000,,7.1
10/18/2018 14:00:00.000000,,8.9
10/18/2018 15:00:00.000000,,10.1
10/18/2018 16:00:00.000000,,9.2
10/18/2018 17:00:00.000000,,8.9
10/18/2018 18:00:00.000000,,6.9
10/18/2018 19:00:00.000000,,5.8
10/18/2018 20:00:00.000000,,4.4
10/18/2018 21:00:00.000000,,4.1
10/18/2018 22:00:00.000000,,4.1
10/18/2018 23:00:00.000000,,3.5
10/19/2018 00:00:00.000000,,3.4
10/19/2018 01:00:00.000000,,3.9
10/19/2018 02:00:00.000000,,5.7
10/19/2018 03:00:00.000000,,5.9
10/19/2018 04:00:00.000000,,5.0
10/19/2018 05:00:00.000000,,4.2
10/19/2018 06:00:00.000000,,3.6
10/19/2018 07:00:00.000000,,3.2
10/19/2018 08:00:00.000000,,2.8
10/19/2018 09:00:00.000000,,3.4
10/19/2018 10:00:00.000000,,4.0
10/19/2018 11:00:00.000000,,4.6
10/19/2018 12:00:00.000000,,7.4
10/19/2018 13:00:00.000000,,15.2
10/19/2018 14:00:00.000000,,19.3
10/19/2018 15:00:00.000000,,16.2
10/19/2018 16:00:00.000000,,11.4
10/19/2018 17:00:00.000000,,7.6
10/19/2018 18:00:00.000000,,5.9
10/19/2018 19:00:00.000000,,5.0
10/19/2018 20:00:00.000000,,4.9
10/19/2018 21:00:00.000000,,5.4
10/19/2018 22:00:00.000000,,5.3
10/19/2018 23:00:00.000000,,5.4
10/20/2018 00:00:00.000000,,5.4
10/20/2018 03:00:00.000000,,13.3
10/20/2018 04:00:00.000000,,14.0
